ZONE I=   31 J=   31
    0.0161280588     0.0161280588     0.0008365182     0.0127126823    -0.3100672258     0.9840409809     0.5824868255
    0.0483843710     0.0161280588    -0.0024976947     0.0183890970    -0.3130220681     0.9832433430     0.3276427521
    0.0806410593     0.0161280588    -0.0111047398     0.0196715466    -0.3135146257     0.9812522067     0.7068498879
    0.1128980965     0.0161280588    -0.0203760756     0.0198921555    -0.3130900395     0.9780538522     1.1878289841
    0.1451554561     0.0161280588    -0.0297768009     0.0198128483    -0.3113692828     0.9738868652     1.6889338682
    0.1774131110     0.0161280588    -0.0384977463     0.0196701973    -0.3085554626     0.9691085453     2.1512031183
    0.2096710345     0.0161280588    -0.0461653391     0.0194375649    -0.3045610536     0.9640559243     2.5459455667
    0.2419291998     0.0161280588    -0.0522432588     0.0190475085    -0.2993788018     0.9589840952     2.8435057184
    0.2741875798     0.0161280588    -0.0561560344     0.0184395304    -0.2930616196     0.9540694965     3.0166329584
    0.3064461479     0.0161280588    -0.0573224383     0.0176001858    -0.2858218229     0.9494443413     3.0408507354
    0.3387048770     0.0161280588    -0.0552860990     0.0165679922    -0.2780430577     0.9452269309     2.8993412987
    0.3709637405     0.0161280588    -0.0498121892     0.0154323188    -0.2702758345     0.9415369661     2.5863699202
    0.4032227113     0.0161280588    -0.0409698984     0.0143212922    -0.2631865112     0.9384967103     2.1100798013
    0.4354817628     0.0161280588    -0.0291735440     0.0133817940    -0.2574734466     0.9362229976     1.4935653427
    0.4677408679     0.0161280588    -0.0151754478     0.0127516358    -0.2537568899     0.9348143065     0.7740746435
    0.5000000000     0.0161280588    -0.0000001218     0.0125295952    -0.2524667051     0.9343369279     0.0000062965
    0.5322591320     0.0161280588     0.0151752090     0.0127516320    -0.2537568542     0.9348142993    -0.7740622722
    0.5645182372     0.0161280588     0.0291733197     0.0133817867    -0.2574733778     0.9362229834    -1.4935536307
    0.5967772887     0.0161280588     0.0409696967     0.0143212823    -0.2631864141     0.9384966898    -2.1100691268
    0.6290362595     0.0161280588     0.0498120166     0.0154323074    -0.2702757152     0.9415369401    -2.5863606041
    0.6612951229     0.0161280588     0.0552859596     0.0165679803    -0.2780429234     0.9452269006    -2.8993335596
    0.6935538521     0.0161280588     0.0573223333     0.0176001746    -0.2858216803     0.9494443080    -3.0408446683
    0.7258124202     0.0161280588     0.0561559622     0.0184395209    -0.2930614747     0.9540694617    -3.0166285349
    0.7580708002     0.0161280588     0.0522432156     0.0190475014    -0.2993786593     0.9589840606    -2.8435028027
    0.7903289655     0.0161280588     0.0461653188     0.0194375603    -0.3045609164     0.9640558913    -2.5459439045
