#      x          Cp  
     0.98481    0.17505
     0.97605    0.16267
     0.96460    0.14874
     0.95168    0.13103
     0.93739    0.10975
     0.92194    0.08504
     0.90562    0.05755
     0.88868    0.02809
     0.87133   -0.00253
     0.85372   -0.03368
     0.83595   -0.06489
     0.81806   -0.09587
     0.80011   -0.12650
     0.78211   -0.15671
     0.76408   -0.18654
     0.74602   -0.21604
     0.72795   -0.24531
     0.70986   -0.27443
     0.69177   -0.30352
     0.67367   -0.33267
     0.65557   -0.36199
     0.63748   -0.39159
     0.61939   -0.42155
     0.60132   -0.45197
     0.58326   -0.48293
     0.56521   -0.51454
     0.54718   -0.54688
     0.52918   -0.58003
     0.51121   -0.61408
     0.49327   -0.64913
     0.47536   -0.68527
     0.45750   -0.72258
     0.43968   -0.76118
     0.42191   -0.80117
     0.40420   -0.84267
     0.38655   -0.88579
     0.36898   -0.93067
     0.35148   -0.97745
     0.33408   -1.02631
     0.31677   -1.07742
     0.29959   -1.13099
     0.28254   -1.18724
     0.26564   -1.24642
     0.24893   -1.30880
     0.23244   -1.37467
     0.21622   -1.44435
     0.20032   -1.51811
     0.18480   -1.59622
     0.16976   -1.67884
     0.15529   -1.76601
     0.14149   -1.85755
     0.12846   -1.95299
     0.11628   -2.05150
     0.10500   -2.15170
     0.09464   -2.25142
     0.08519   -2.34772
     0.07661   -2.43977
     0.06882   -2.54968
     0.06177   -2.83585
     0.05537   -3.13601
     0.04955   -3.20714
     0.04425   -3.28092
     0.03942   -3.36382
     0.03499   -3.45821
     0.03093   -3.56588
     0.02720   -3.68529
     0.02376   -3.81055
     0.02060   -3.93487
     0.01770   -4.05188
     0.01503   -4.15506
     0.01259   -4.23690
     0.01037   -4.28830
     0.00836   -4.29858
     0.00656   -4.25604
     0.00497   -4.14946
     0.00360   -3.97045
     0.00244   -3.71634
     0.00149   -3.39284
     0.00075   -3.01389
     0.00020   -2.60433
    -0.00016   -2.18988
    -0.00035   -1.76510
    -0.00035   -1.33322
    -0.00016   -0.91331
     0.00025   -0.52218
     0.00086   -0.17371
     0.00169    0.12421
     0.00274    0.36959
     0.00401    0.56459
     0.00549    0.71456
     0.00720    0.82541
     0.00914    0.90392
     0.01131    0.95559
     0.01375    0.98588
     0.01646    0.99882
     0.01946    0.99806
     0.02278    0.98633
     0.02647    0.96599
     0.03056    0.93862
     0.03509    0.90587
     0.04014    0.86864
     0.04575    0.82808
     0.05201    0.78483
     0.05899    0.73971
     0.06676    0.69333
     0.07539    0.64641
     0.08494    0.59961
     0.09542    0.55363
     0.10684    0.50913
     0.11915    0.46671
     0.13227    0.42683
     0.14613    0.38979
     0.16062    0.35574
     0.17565    0.32471
     0.19115    0.29660
     0.20705    0.27127
     0.22327    0.24852
     0.23979    0.22815
     0.25656    0.20995
     0.27355    0.19372
     0.29074    0.17928
     0.30810    0.16645
     0.32562    0.15506
     0.34328    0.14499
     0.36107    0.13609
     0.37899    0.12825
     0.39701    0.12136
     0.41513    0.11534
     0.43335    0.11009
     0.45165    0.10555
     0.47003    0.10164
     0.48847    0.09832
     0.50699    0.09553
     0.52556    0.09323
     0.54419    0.09139
     0.56287    0.08998
     0.58159    0.08899
     0.60036    0.08839
     0.61916    0.08820
     0.63799    0.08841
     0.65685    0.08904
     0.67573    0.09013
     0.69464    0.09171
     0.71355    0.09386
     0.73248    0.09666
     0.75142    0.10024
     0.77035    0.10477
     0.78926    0.11046
     0.80815    0.11758
     0.82699    0.12627
     0.84574    0.13627
     0.86434    0.14617
     0.88268    0.15367
     0.90062    0.15868
     0.91793    0.16148
     0.93433    0.16244
     0.94953    0.16222
     0.96327    0.16123
     0.97547    0.15988
     0.98481    0.17505
