#      x          Cp  
     1.00000    0.28210
     0.99180    0.23540
     0.98067    0.19251
     0.96782    0.14769
     0.95357    0.10469
     0.93838    0.06501
     0.92265    0.02927
     0.90663   -0.00281
     0.89046   -0.03180
     0.87420   -0.05824
     0.85789   -0.08261
     0.84156   -0.10529
     0.82521   -0.12657
     0.80884   -0.14668
     0.79246   -0.16582
     0.77607   -0.18412
     0.75967   -0.20169
     0.74326   -0.21863
     0.72685   -0.23501
     0.71043   -0.25087
     0.69401   -0.26623
     0.67759   -0.28110
     0.66117   -0.29544
     0.64475   -0.30918
     0.62833   -0.32220
     0.61192   -0.33432
     0.59551   -0.34542
     0.57911   -0.35610
     0.56271   -0.37041
     0.54633   -0.40323
     0.52996   -0.46644
     0.51360   -0.48124
     0.49726   -0.49124
     0.48094   -0.50279
     0.46464   -0.51539
     0.44836   -0.52897
     0.43213   -0.54356
     0.41594   -0.55926
     0.39984   -0.57645
     0.38386   -0.59424
     0.36796   -0.61136
     0.35212   -0.62788
     0.33634   -0.64371
     0.32061   -0.65884
     0.30494   -0.67326
     0.28933   -0.68697
     0.27379   -0.69995
     0.25833   -0.71216
     0.24295   -0.72360
     0.22767   -0.73420
     0.21251   -0.74392
     0.19747   -0.75270
     0.18258   -0.76047
     0.16788   -0.76715
     0.15338   -0.77264
     0.13916   -0.77683
     0.12527   -0.77958
     0.11181   -0.78073
     0.09891   -0.78010
     0.08670   -0.77747
     0.07535   -0.77263
     0.06501   -0.76537
     0.05576   -0.75546
     0.04762   -0.74266
     0.04054   -0.72669
     0.03441   -0.70714
     0.02912   -0.68346
     0.02453   -0.65491
     0.02055   -0.62056
     0.01707   -0.57915
     0.01404   -0.52918
     0.01138   -0.46878
     0.00906   -0.39574
     0.00704   -0.30758
     0.00530   -0.20179
     0.00381   -0.07635
     0.00258    0.06938
     0.00159    0.23297
     0.00084    0.40794
     0.00034    0.58189
     0.00006    0.73978
     0.00001    0.86529
     0.00016    0.95408
     0.00056    0.99709
     0.00122    0.98899
     0.00215    0.93549
     0.00334    0.85059
     0.00480    0.74913
     0.00653    0.64397
     0.00853    0.54238
     0.01081    0.44890
     0.01339    0.36479
     0.01631    0.29034
     0.01960    0.22492
     0.02333    0.16771
     0.02758    0.11783
     0.03242    0.07448
     0.03799    0.03701
     0.04441    0.00492
     0.05182   -0.02217
     0.06037   -0.04448
     0.07015   -0.06222
     0.08116   -0.07562
     0.09331   -0.08505
     0.10646   -0.09100
     0.12040   -0.09407
     0.13494   -0.09483
     0.14996   -0.09381
     0.16532   -0.09144
     0.18095   -0.08807
     0.19680   -0.08398
     0.21282   -0.07937
     0.22899   -0.07442
     0.24528   -0.06927
     0.26168   -0.06402
     0.27817   -0.05878
     0.29474   -0.05364
     0.31139   -0.04867
     0.32810   -0.04395
     0.34486   -0.03959
     0.36167   -0.03569
     0.37851   -0.03241
     0.39536   -0.03025
     0.41215   -0.02916
     0.42890   -0.02689
     0.44566   -0.02407
     0.46244   -0.02082
     0.47923   -0.01727
     0.49605   -0.01351
     0.51289   -0.00961
     0.52976   -0.00561
     0.54664   -0.00154
     0.56354    0.00256
     0.58046    0.00668
     0.59740    0.01080
     0.61435    0.01493
     0.63131    0.01906
     0.64828    0.02318
     0.66527    0.02731
     0.68226    0.03144
     0.69926    0.03560
     0.71626    0.03979
     0.73327    0.04404
     0.75028    0.04836
     0.76730    0.05278
     0.78431    0.05732
     0.80132    0.06201
     0.81833    0.06685
     0.83534    0.07187
     0.85233    0.07704
     0.86931    0.08233
     0.88624    0.08763
     0.90311    0.09283
     0.91982    0.09774
     0.93623    0.10221
     0.95206    0.10609
     0.96689    0.14545
     0.98019    0.19209
     0.99163    0.23571
     1.00000    0.28210
