#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.01961  0.00281  0.00676  0.99180  0.008236  0.003682  1.932760     2.237
   1.02170  0.00173  0.00497  0.88338  0.008108  0.003420  1.533053     2.370
   1.02368  0.00090  0.00317  0.74370  0.006679  0.003151  1.999271     2.120
   1.02558  0.00030  0.00137  0.59672  0.007357  0.002994  1.042032     2.457
   1.02740 -0.00007 -0.00041  0.41367  0.005628  0.002774  1.431322     2.029
   1.02924 -0.00023 -0.00225  0.25792  0.009275  0.003455  0.262921     2.684
   1.03116 -0.00016 -0.00416  0.10501  0.005525  0.002506  0.257716     2.205
   1.03315  0.00016 -0.00613  0.02466  0.086390  0.040175  0.001137     2.150
   1.03523  0.00075 -0.00813  0.02439  0.084061  0.038852  0.001198     2.164
   1.03742  0.00161 -0.01014  0.02408  0.081592  0.037353  0.001274     2.184
   1.03973  0.00273 -0.01216  0.02372  0.078478  0.035539  0.001376     2.208
   1.04219  0.00413 -0.01418  0.02328  0.074561  0.033269  0.001488     2.241
   1.04481  0.00580 -0.01620  0.02269  0.066620  0.030238  0.001876     2.203
   1.04764  0.00776 -0.01824  0.02272  0.086874  0.026858 -0.000116     3.235
   1.05069  0.01002 -0.02030  0.02214  0.026014  0.012149  0.008896     2.141
   1.05403  0.01261 -0.02239  0.01034  0.062007  0.026240  0.001264     2.363
   1.05769  0.01558 -0.02455  0.00043  0.010465  0.004694  0.000857     2.230
   1.06175  0.01897 -0.02677 -0.15560  0.010465  0.004694  0.221354     2.230
   1.06629  0.02287 -0.02909 -0.52740  0.005914  0.002712  1.525005     2.181
   1.07140  0.02736 -0.03153 -0.54484  0.029502  0.007037 -0.038422     4.192
   1.07720  0.03256 -0.03411 -0.51783  0.026361  0.010129  0.200560     2.603
   1.08383  0.03859 -0.03685 -0.51943  0.031557  0.012490  0.185520     2.527
   1.09143  0.04561 -0.03977 -0.52101  0.037715  0.014784  0.151330     2.551
   1.10014  0.05375 -0.04288 -0.64433  0.018331  0.009285  0.704974     1.974
   1.11004  0.06309 -0.04615 -0.75558  0.021514  0.009369  0.532539     2.296
   1.12115  0.07367 -0.04956 -0.80164  0.026590  0.011009  0.404410     2.415
   1.13339  0.08540 -0.05305 -0.82383  0.031800  0.012971  0.333379     2.452
   1.14659  0.09813 -0.05655 -0.83884  0.036522  0.014850  0.292497     2.459
   1.16057  0.11167 -0.06001 -0.85301  0.040202  0.016470  0.275572     2.441
   1.17515  0.12585 -0.06339 -0.86734  0.043331  0.017874  0.264716     2.424
   1.19017  0.14051 -0.06667 -0.88203  0.045931  0.019084  0.258913     2.407
   1.20554  0.15555 -0.06984 -0.89659  0.048293  0.020164  0.253685     2.395
   1.22118  0.17089 -0.07291 -0.91035  0.050635  0.021179  0.246984     2.391
   1.23703  0.18646 -0.07587 -0.92310  0.052943  0.022151  0.239902     2.390
   1.25305  0.20222 -0.07874 -0.93503  0.055116  0.023072  0.233907     2.389
   1.26922  0.21815 -0.08151 -0.94592  0.057335  0.023977  0.227070     2.391
   1.28551  0.23421 -0.08421 -0.95589  0.059526  0.024863  0.220471     2.394
   1.30191  0.25040 -0.08684 -0.96499  0.061706  0.025735  0.214001     2.398
   1.31840  0.26669 -0.08941 -0.97331  0.063857  0.026592  0.207872     2.401
   1.33498  0.28308 -0.09193 -0.98083  0.066049  0.027448  0.201513     2.406
   1.35163  0.29954 -0.09439 -0.98766  0.068226  0.028295  0.195465     2.411
   1.36835  0.31608 -0.09682 -0.99386  0.070400  0.029136  0.189636     2.416
   1.38512  0.33269 -0.09921 -0.99963  0.072477  0.029955  0.184648     2.420
   1.40194  0.34934 -0.10158 -1.00503  0.074487  0.030755  0.180190     2.422
   1.41879  0.36603 -0.10392 -1.01009  0.076444  0.031537  0.176094     2.424
   1.43565  0.38272 -0.10623 -1.01487  0.078334  0.032298  0.172401     2.425
   1.45245  0.39937 -0.10851 -1.01939  0.080168  0.033038  0.168997     2.427
   1.46922  0.41599 -0.11074 -1.02366  0.081958  0.033761  0.165813     2.428
   1.48599  0.43262 -0.11292 -1.02770  0.083725  0.034471  0.162742     2.429
   1.50279  0.44928 -0.11506 -1.03154  0.085470  0.035170  0.159784     2.430
   1.51960  0.46596 -0.11717 -1.03520  0.087182  0.035857  0.156997     2.431
   1.53645  0.48268 -0.11924 -1.03873  0.088840  0.036528  0.154475     2.432
   1.55331  0.49942 -0.12129 -1.04211  0.090468  0.037187  0.152082     2.433
   1.57020  0.51619 -0.12331 -1.04536  0.092078  0.037837  0.149762     2.434
   1.58711  0.53298 -0.12531 -1.04849  0.093660  0.038476  0.147559     2.434
   1.60404  0.54979 -0.12728 -1.05151  0.095210  0.039104  0.145482     2.435
   1.62099  0.56663 -0.12924 -1.05443  0.096731  0.039721  0.143516     2.435
   1.63796  0.58349 -0.13118 -1.05723  0.098244  0.040331  0.141572     2.436
   1.65494  0.60036 -0.13310 -1.05997  0.099711  0.040929  0.139796     2.436
   1.67193  0.61724 -0.13501 -1.06264  0.101141  0.041514  0.138149     2.436
   1.68894  0.63414 -0.13690 -1.06527  0.102522  0.042087  0.136664     2.436
   1.70596  0.65106 -0.13879 -1.06785  0.103868  0.042648  0.135278     2.435
   1.72298  0.66798 -0.14066 -1.07038  0.105178  0.043198  0.133991     2.435
   1.74002  0.68491 -0.14252 -1.07288  0.106452  0.043736  0.132799     2.434
   1.75706  0.70185 -0.14437 -1.07538  0.107662  0.044259  0.131791     2.433
   1.77410  0.71880 -0.14622 -1.07784  0.108854  0.044772  0.130807     2.431
   1.79115  0.73575 -0.14805 -1.08027  0.110016  0.045274  0.129879     2.430
   1.80821  0.75270 -0.14988 -1.08270  0.111143  0.045765  0.129029     2.429
   1.82526  0.76966 -0.15170 -1.08511  0.112229  0.046244  0.128272     2.427
   1.84231  0.78662 -0.15350 -1.08753  0.113265  0.046709  0.127627     2.425
   1.85937  0.80357 -0.15530 -1.08995  0.114265  0.047162  0.127052     2.423
   1.87641  0.82053 -0.15709 -1.09227  0.115346  0.047622  0.126193     2.422
   1.89345  0.83747 -0.15886 -1.09459  0.116368  0.048069  0.125482     2.421
   1.91046  0.85440 -0.16062 -1.09691  0.117342  0.048504  0.124882     2.419
   1.92745  0.87129 -0.16237 -1.09928  0.118212  0.048916  0.124541     2.417
   1.94435  0.88811 -0.16409 -1.10164  0.119066  0.049319  0.124193     2.414
   1.96111  0.90478 -0.16578 -1.10408  0.119783  0.049692  0.124170     2.411
   1.97757  0.92115 -0.16743 -1.10641  0.120565  0.050064  0.123883     2.408
   1.99344  0.93695 -0.16900 -1.10860  0.121364  0.050425  0.123449     2.407
   2.00831  0.95174 -0.17046 -1.11031  0.122510  0.050825  0.121944     2.410
   2.02166  0.96503 -0.17175 -1.11191  0.123365  0.051157  0.121077     2.411
   2.03312  0.97644 -0.17285 -1.11347  0.123845  0.051402  0.121000     2.409
   2.04153  0.98481 -0.17365 -1.11476  0.124020  0.051551  0.121347     2.406
   2.04153  0.98490 -0.17367  1.09836  0.464674  0.131497  0.000000     3.534
   2.04992  0.99307 -0.17560  1.09701  0.484388  0.132407  0.000000     3.658
   2.05957  1.00250 -0.17766  1.09698  0.461457  0.132424  0.000000     3.485
   2.07067  1.01337 -0.17993  1.09599  0.462314  0.133082  0.000000     3.474
   2.08345  1.02590 -0.18243  1.09483  0.463951  0.133855  0.000000     3.466
   2.09814  1.04032 -0.18519  1.09352  0.465763  0.134739  0.000000     3.457
   2.11503  1.05694 -0.18824  1.09202  0.467834  0.135752  0.000000     3.446
   2.13447  1.07608 -0.19161  1.09031  0.470135  0.136910  0.000000     3.434
   2.15682  1.09813 -0.19533  1.08839  0.472695  0.138233  0.000000     3.420
   2.18254  1.12351 -0.19942  1.08620  0.475559  0.139745  0.000000     3.403
   2.21211  1.15275 -0.20392  1.08374  0.478694  0.141468  0.000000     3.384
   2.24613  1.18641 -0.20884  1.08097  0.482118  0.143430  0.000000     3.361
   2.28526  1.22517 -0.21423  1.07785  0.485734  0.145659  0.000000     3.335
   2.33027  1.26979 -0.22010  1.07438  0.489413  0.148184  0.000000     3.303
   2.38204  1.32117 -0.22647  1.07052  0.492875  0.151028  0.000000     3.263
   2.44159  1.38031 -0.23338  1.06628  0.495583  0.154207  0.000000     3.214
   2.51009  1.44840 -0.24083  1.06199  0.491854  0.157459  0.000000     3.124
   2.58887  1.52678 -0.24884  1.05712  0.488950  0.161179  0.000000     3.034
   2.67949  1.61699 -0.25741  1.05217  0.480785  0.164990  0.000000     2.914
   2.78373  1.72083 -0.26656  1.04755  0.464707  0.168546  0.000000     2.757
   2.90362  1.84033 -0.27628  1.04404  0.438227  0.171204  0.000000     2.560
   3.04153  1.97785 -0.28656  1.04077  0.411478  0.173624  0.000000     2.370
