#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.84729  0.007946  0.003806  0.000664     2.088
   0.00838  0.99180  0.00174  0.87441  0.006268  0.003353  0.001064     1.869
   0.01975  0.98067  0.00406  0.89861  0.005293  0.003013  0.001397     1.756
   0.03288  0.96782  0.00670  0.92321  0.004543  0.002714  0.001737     1.674
   0.04741  0.95357  0.00957  0.94621  0.003986  0.002466  0.002057     1.616
   0.06289  0.93838  0.01256  0.96695  0.003565  0.002263  0.002347     1.575
   0.07890  0.92265  0.01559  0.98526  0.003242  0.002097  0.002605     1.546
   0.09521  0.90663  0.01860  1.00141  0.002985  0.001958  0.002835     1.524
   0.11165  0.89046  0.02157  1.01577  0.002773  0.001839  0.003042     1.508
   0.12817  0.87420  0.02448  1.02871  0.002594  0.001735  0.003232     1.495
   0.14472  0.85789  0.02733  1.04049  0.002438  0.001642  0.003409     1.485
   0.16129  0.84156  0.03012  1.05133  0.002300  0.001558  0.003576     1.476
   0.17787  0.82521  0.03284  1.06140  0.002175  0.001481  0.003736     1.469
   0.19445  0.80884  0.03549  1.07083  0.002060  0.001409  0.003892     1.462
   0.21103  0.79246  0.03807  1.07973  0.001953  0.001341  0.004046     1.456
   0.22761  0.77607  0.04059  1.08817  0.001853  0.001277  0.004198     1.451
   0.24420  0.75967  0.04304  1.09622  0.001758  0.001215  0.004350     1.446
   0.26077  0.74326  0.04542  1.10392  0.001667  0.001156  0.004502     1.442
   0.27735  0.72685  0.04773  1.11131  0.001581  0.001100  0.004656     1.438
   0.29392  0.71043  0.04998  1.11842  0.001498  0.001045  0.004809     1.434
   0.31048  0.69401  0.05216  1.12527  0.001419  0.000991  0.004961     1.432
   0.32704  0.67759  0.05427  1.13185  0.001343  0.000939  0.005106     1.431
   0.34358  0.66117  0.05631  1.13817  0.001272  0.000888  0.005237     1.432
   0.36012  0.64475  0.05827  1.14419  0.001205  0.000839  0.005335     1.436
   0.37665  0.62833  0.06017  1.14987  0.001147  0.000792  0.005372     1.448
   0.39316  0.61192  0.06198  1.15513  0.001100  0.000746  0.005291     1.474
   0.40967  0.59551  0.06373  1.15992  0.001074  0.000704  0.004989     1.525
   0.42615  0.57911  0.06540  1.16452  0.001086  0.000666  0.004298     1.629
   0.44262  0.56271  0.06698  1.17065  0.001170  0.000632  0.003044     1.853
   0.45908  0.54633  0.06849  1.18458  0.001376  0.000589  0.001415     2.335
   0.47551  0.52996  0.06991  1.21097  0.001670  0.000526  0.000343     3.174
   0.49192  0.51360  0.07125  1.21706  0.001774  0.000511  0.000157     3.471
   0.50831  0.49726  0.07250  1.22116  0.001788  0.000501  0.000109     3.569
   0.52468  0.48094  0.07366  1.22588  0.001758  0.000490  0.000101     3.590
   0.54101  0.46464  0.07473  1.23101  0.001703  0.000478  0.000118     3.563
   0.55731  0.44836  0.07570  1.23651  0.001631  0.000466  0.000155     3.504
   0.57357  0.43213  0.07657  1.24240  0.001549  0.000453  0.000212     3.423
   0.58977  0.41594  0.07733  1.24870  0.001460  0.000439  0.000293     3.324
   0.60589  0.39984  0.07799  1.25557  0.001360  0.000425  0.000415     3.200
   0.62188  0.38386  0.07852  1.26263  0.001266  0.000410  0.000556     3.085
   0.63778  0.36796  0.07890  1.26939  0.001190  0.000396  0.000683     3.002
   0.65362  0.35212  0.07912  1.27589  0.001124  0.000383  0.000806     2.935
   0.66940  0.33634  0.07919  1.28207  0.001066  0.000370  0.000924     2.881
   0.68513  0.32061  0.07911  1.28796  0.001013  0.000357  0.001039     2.836
   0.70080  0.30494  0.07886  1.29355  0.000964  0.000345  0.001154     2.798
   0.71642  0.28933  0.07844  1.29883  0.000919  0.000332  0.001269     2.765
   0.73197  0.27379  0.07785  1.30382  0.000877  0.000320  0.001386     2.737
   0.74745  0.25833  0.07708  1.30850  0.000836  0.000309  0.001505     2.711
   0.76286  0.24295  0.07612  1.31286  0.000798  0.000297  0.001627     2.689
   0.77818  0.22767  0.07498  1.31689  0.000761  0.000285  0.001755     2.669
   0.79341  0.21251  0.07363  1.32057  0.000725  0.000273  0.001887     2.650
