#      x          Cp  
     0.98481   -0.28144
     0.97703   -0.28354
     0.96648   -0.28643
     0.95428   -0.28983
     0.94074   -0.29367
     0.92631   -0.29787
     0.91134   -0.30233
     0.89609   -0.30699
     0.88067   -0.31183
     0.86517   -0.31683
     0.84961   -0.32198
     0.83401   -0.32730
     0.81837   -0.33277
     0.80271   -0.33841
     0.78703   -0.34423
     0.77133   -0.35023
     0.75560   -0.35642
     0.73986   -0.36280
     0.72410   -0.36938
     0.70832   -0.37618
     0.69253   -0.38320
     0.67672   -0.39045
     0.66090   -0.39794
     0.64507   -0.40567
     0.62923   -0.41367
     0.61338   -0.42194
     0.59753   -0.43050
     0.58166   -0.43935
     0.56580   -0.44851
     0.54992   -0.45798
     0.53405   -0.46780
     0.51817   -0.47796
     0.50229   -0.48848
     0.48642   -0.49938
     0.47055   -0.51067
     0.45470   -0.52237
     0.43886   -0.53449
     0.42305   -0.54702
     0.40731   -0.55998
     0.39166   -0.57331
     0.37607   -0.58703
     0.36051   -0.60118
     0.34498   -0.61576
     0.32948   -0.63078
     0.31400   -0.64623
     0.29856   -0.66210
     0.28315   -0.67838
     0.26779   -0.69504
     0.25248   -0.71205
     0.23723   -0.72939
     0.22206   -0.74704
     0.20699   -0.76473
     0.19202   -0.78172
     0.17720   -0.79837
     0.16255   -0.81764
     0.14812   -0.83712
     0.13399   -0.85641
     0.12024   -0.87515
     0.10701   -0.89285
     0.09444   -0.90895
     0.08270   -0.92242
     0.07194   -0.93241
     0.06227   -0.93815
     0.05372   -0.93902
     0.04623   -0.93457
     0.03971   -0.92449
     0.03403   -0.90845
     0.02907   -0.88611
     0.02473   -0.85709
     0.02091   -0.82090
     0.01754   -0.77705
     0.01455   -0.72509
     0.01190   -0.66335
     0.00956   -0.58209
     0.00749   -0.47202
     0.00568   -0.33532
     0.00412   -0.17434
     0.00281    0.01634
     0.00173    0.21965
     0.00090    0.44691
     0.00030    0.64392
    -0.00007    0.82887
    -0.00023    0.93347
    -0.00016    0.98897
     0.00016    0.99939
     0.00075    0.99940
     0.00161    0.99942
     0.00273    0.99944
     0.00413    0.99946
     0.00580    0.99949
     0.00776    0.99948
     0.01002    0.99951
     0.01261    0.99989
     0.01558    1.00000
     0.01897    0.97579
     0.02287    0.72185
     0.02736    0.70315
     0.03256    0.73185
     0.03859    0.73020
     0.04561    0.72854
     0.05375    0.58484
     0.06309    0.42910
     0.07367    0.35737
     0.08540    0.32131
     0.09813    0.29635
     0.11167    0.27237
     0.12585    0.24771
     0.14051    0.22203
     0.15555    0.19612
     0.17089    0.17125
     0.18646    0.14789
     0.20222    0.12573
     0.21815    0.10523
     0.23421    0.08628
     0.25040    0.06880
     0.26669    0.05267
     0.28308    0.03798
     0.29954    0.02453
     0.31608    0.01224
     0.33269    0.00074
     0.34934   -0.01008
     0.36603   -0.02028
     0.38272   -0.02996
     0.39937   -0.03915
     0.41599   -0.04788
     0.43262   -0.05618
     0.44928   -0.06408
     0.46596   -0.07164
     0.48268   -0.07895
     0.49942   -0.08600
     0.51619   -0.09278
     0.53298   -0.09932
     0.54979   -0.10566
     0.56663   -0.11181
     0.58349   -0.11774
     0.60036   -0.12354
     0.61724   -0.12921
     0.63414   -0.13480
     0.65106   -0.14029
     0.66798   -0.14571
     0.68491   -0.15107
     0.70185   -0.15644
     0.71880   -0.16174
     0.73575   -0.16699
     0.75270   -0.17223
     0.76966   -0.17746
     0.78662   -0.18272
     0.80357   -0.18799
     0.82053   -0.19305
     0.83747   -0.19812
     0.85440   -0.20321
     0.87129   -0.20842
     0.88811   -0.21362
     0.90478   -0.21900
     0.92115   -0.22414
     0.93695   -0.22900
     0.95174   -0.23278
     0.96503   -0.23635
     0.97644   -0.23982
     0.98481   -0.24269
