#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  0.98481 -0.17365  0.91460  0.023035  0.009649  0.000335     2.387
   0.00841  0.97682 -0.17101  0.92320  0.020814  0.009265  0.000448     2.247
   0.01984  0.96596 -0.16744  0.93168  0.019223  0.008912  0.000542     2.157
   0.03308  0.95338 -0.16334  0.94176  0.017667  0.008522  0.000651     2.073
   0.04776  0.93940 -0.15882  0.95310  0.016212  0.008115  0.000770     1.998
   0.06343  0.92449 -0.15405  0.96533  0.014889  0.007708  0.000897     1.932
   0.07965  0.90902 -0.14915  0.97802  0.013719  0.007316  0.001029     1.875
   0.09617  0.89326 -0.14420  0.99082  0.012698  0.006950  0.001161     1.827
   0.11283  0.87735 -0.13924  1.00352  0.011810  0.006611  0.001292     1.787
   0.12957  0.86135 -0.13431  1.01599  0.011038  0.006299  0.001420     1.752
   0.14635  0.84531 -0.12941  1.02816  0.010363  0.006014  0.001543     1.723
   0.16314  0.82923 -0.12454  1.03999  0.009769  0.005751  0.001663     1.699
   0.17995  0.81314 -0.11971  1.05150  0.009242  0.005510  0.001779     1.677
   0.19676  0.79703 -0.11492  1.06270  0.008771  0.005286  0.001891     1.659
   0.21357  0.78090 -0.11017  1.07361  0.008347  0.005078  0.001999     1.644
   0.23038  0.76476 -0.10545  1.08427  0.007961  0.004885  0.002105     1.630
   0.24719  0.74861 -0.10078  1.09472  0.007609  0.004703  0.002207     1.618
   0.26400  0.73246 -0.09614  1.10498  0.007284  0.004531  0.002307     1.607
   0.28081  0.71630 -0.09154  1.11510  0.006983  0.004369  0.002405     1.598
   0.29761  0.70013 -0.08698  1.12511  0.006701  0.004215  0.002501     1.590
   0.31440  0.68395 -0.08246  1.13504  0.006437  0.004068  0.002597     1.583
   0.33119  0.66777 -0.07798  1.14492  0.006188  0.003927  0.002692     1.576
   0.34797  0.65159 -0.07355  1.15478  0.005952  0.003791  0.002786     1.570
   0.36473  0.63541 -0.06916  1.16464  0.005727  0.003660  0.002881     1.565
   0.38149  0.61922 -0.06482  1.17453  0.005513  0.003534  0.002976     1.560
   0.39824  0.60304 -0.06052  1.18448  0.005307  0.003412  0.003071     1.555
   0.41497  0.58686 -0.05627  1.19450  0.005109  0.003293  0.003168     1.551
   0.43168  0.57068 -0.05208  1.20462  0.004918  0.003177  0.003267     1.548
   0.44838  0.55450 -0.04793  1.21487  0.004733  0.003065  0.003367     1.544
   0.46506  0.53833 -0.04385  1.22525  0.004554  0.002955  0.003469     1.541
   0.48171  0.52217 -0.03982  1.23580  0.004381  0.002848  0.003574     1.538
   0.49835  0.50601 -0.03585  1.24653  0.004212  0.002742  0.003681     1.536
   0.51496  0.48987 -0.03195  1.25747  0.004048  0.002640  0.003792     1.533
   0.53155  0.47373 -0.02811  1.26863  0.003888  0.002539  0.003906     1.531
   0.54811  0.45761 -0.02434  1.28004  0.003731  0.002440  0.004024     1.529
   0.56463  0.44150 -0.02065  1.29172  0.003579  0.002343  0.004147     1.528
   0.58113  0.42540 -0.01704  1.30370  0.003429  0.002247  0.004274     1.526
   0.59759  0.40933 -0.01351  1.31601  0.003283  0.002154  0.004406     1.524
   0.61401  0.39327 -0.01007  1.32866  0.003140  0.002062  0.004545     1.523
   0.63039  0.37723 -0.00672  1.34171  0.003000  0.001971  0.004690     1.522
   0.64673  0.36123 -0.00346  1.35517  0.002862  0.001882  0.004842     1.521
   0.66301  0.34525 -0.00032  1.36909  0.002727  0.001794  0.005003     1.520
   0.67925  0.32930  0.00272  1.38352  0.002594  0.001708  0.005173     1.519
   0.69543  0.31339  0.00565  1.39851  0.002464  0.001623  0.005353     1.518
   0.71154  0.29752  0.00845  1.41411  0.002336  0.001539  0.005545     1.518
   0.72759  0.28170  0.01111  1.43040  0.002209  0.001456  0.005751     1.517
   0.74355  0.26593  0.01364  1.44744  0.002085  0.001375  0.005974     1.517
   0.75944  0.25023  0.01602  1.46535  0.001962  0.001294  0.006215     1.516
   0.77522  0.23460  0.01824  1.48423  0.001841  0.001215  0.006479     1.515
   0.79089  0.21906  0.02028  1.50420  0.001721  0.001136  0.006770     1.515
   0.80644  0.20363  0.02215  1.52544  0.001602  0.001059  0.007096     1.513
   0.82183  0.18833  0.02381  1.54811  0.001485  0.000982  0.007463     1.512
   0.83703  0.17319  0.02527  1.57245  0.001368  0.000906  0.007884     1.509
   0.85201  0.15826  0.02649  1.59869  0.001253  0.000832  0.008372     1.506
   0.86671  0.14360  0.02747  1.62713  0.001138  0.000758  0.008946     1.501
   0.88102  0.12930  0.02819  1.65804  0.001026  0.000686  0.009631     1.495
   0.89485  0.11548  0.02862  1.69169  0.000915  0.000616  0.010454     1.486
   0.90805  0.10229  0.02876  1.72823  0.000809  0.000548  0.011447     1.476
   0.92043  0.08991  0.02862  1.76761  0.000707  0.000483  0.012634     1.464
   0.93184  0.07851  0.02821  1.80953  0.000614  0.000423  0.014012     1.451
   0.94215  0.06821  0.02757  1.85333  0.000530  0.000368  0.015510     1.442
   0.95133  0.05907  0.02674  1.89797  0.000460  0.000318  0.016887     1.444
   0.95941  0.05105  0.02576  1.94210  0.000408  0.000276  0.017464     1.477
   0.96649  0.04405  0.02468  1.98468  0.000385  0.000241  0.015611     1.596
   0.97270  0.03795  0.02353  2.03084  0.000419  0.000212  0.009580     1.975
   0.97816  0.03263  0.02232  2.13224  0.000559  0.000166  0.001190     3.362
   0.98300  0.02795  0.02106  2.29462  0.000702  0.000100 -0.001481     7.015
   0.98732  0.02382  0.01978  2.31180  0.000637  0.000094 -0.001603     6.757
   0.99121  0.02017  0.01845  2.33017  0.000521  0.000089 -0.001808     5.867
   0.99473  0.01692  0.01709  2.35451  0.000402  0.000083 -0.001890     4.846
   0.99795  0.01402  0.01569  2.38830  0.000302  0.000076 -0.000553     3.970
   1.00091  0.01143  0.01425  2.43201  0.000229  0.000068  0.003347     3.358
   1.00366  0.00913  0.01275  2.48055  0.000181  0.000060  0.008892     2.994
   1.00621  0.00710  0.01121  2.52363  0.000147  0.000053  0.015311     2.769
   1.00860  0.00533  0.00960  2.55317  0.000123  0.000047  0.022407     2.616
   1.01086  0.00380  0.00794  2.56194  0.000105  0.000042  0.029982     2.503
   1.01300  0.00252  0.00622  2.54252  0.000091  0.000038  0.037516     2.415
   1.01504  0.00150  0.00446  2.48870  0.000081  0.000034  0.044124     2.348
   1.01699  0.00072  0.00268  2.39784  0.000074  0.000032  0.048816     2.297
   1.01885  0.00018  0.00089  2.27461  0.000070  0.000031  0.050338     2.268
   1.02067 -0.00013 -0.00090  2.12961  0.000067  0.000030  0.049759     2.249
   1.02253 -0.00024 -0.00276  1.95924  0.000066  0.000029  0.047837     2.227
   1.02448 -0.00012 -0.00471  1.76410  0.000066  0.000030  0.043783     2.210
   1.02652  0.00024 -0.00671  1.55478  0.000067  0.000031  0.038131     2.198
   1.02866  0.00085 -0.00876  1.34238  0.000070  0.000032  0.031733     2.192
   1.03092  0.00172 -0.01084  1.13656  0.000074  0.000034  0.025402     2.189
   1.03331  0.00284 -0.01296  0.94348  0.000080  0.000036  0.019661     2.190
   1.03586  0.00422 -0.01511  0.76610  0.000086  0.000039  0.014753     2.192
   1.03861  0.00587 -0.01730  0.60502  0.000093  0.000042  0.010699     2.197
   1.04157  0.00781 -0.01954  0.45943  0.000101  0.000046  0.007441     2.202
   1.04479  0.01005 -0.02185  0.32793  0.000110  0.000050  0.004847     2.209
   1.04831  0.01264 -0.02424  0.20883  0.000120  0.000054  0.002817     2.214
   1.05220  0.01562 -0.02673  0.10036  0.000129  0.000058  0.001240     2.233
   1.05652  0.01906 -0.02935  0.00128  0.000150  0.000067  0.000014     2.230
   1.06136  0.02303 -0.03213 -0.08970  0.000150  0.000067  0.000958     2.230
   1.06682  0.02762 -0.03509 -0.17422  0.000171  0.000076  0.001575     2.265
   1.07303  0.03296 -0.03826 -0.25209  0.000183  0.000082  0.002185     2.237
   1.08011  0.03916 -0.04167 -0.32484  0.000203  0.000089  0.002454     2.275
   1.08819  0.04636 -0.04533 -0.39185  0.000220  0.000097  0.002765     2.263
   1.09737  0.05467 -0.04924 -0.45383  0.000242  0.000106  0.002853     2.285
   1.10768  0.06412 -0.05336 -0.51009  0.000263  0.000115  0.002943     2.287
   1.11909  0.07469 -0.05765 -0.56078  0.000287  0.000125  0.002932     2.299
   1.13148  0.08628 -0.06201 -0.60568  0.000311  0.000135  0.002901     2.306
   1.14467  0.09873 -0.06639 -0.64513  0.000336  0.000145  0.002836     2.315
   1.15850  0.11186 -0.07071 -0.67952  0.000361  0.000156  0.002759     2.323
   1.17281  0.12555 -0.07493 -0.70944  0.000387  0.000166  0.002672     2.330
   1.18751  0.13966 -0.07902 -0.73548  0.000412  0.000176  0.002583     2.338
   1.20249  0.15410 -0.08298 -0.75822  0.000437  0.000186  0.002494     2.344
   1.21769  0.16883 -0.08679 -0.77813  0.000462  0.000196  0.002407     2.351
   1.23308  0.18377 -0.09046 -0.79565  0.000486  0.000206  0.002322     2.358
   1.24863  0.19891 -0.09398 -0.81113  0.000511  0.000216  0.002241     2.364
   1.26430  0.21421 -0.09737 -0.82485  0.000535  0.000226  0.002163     2.370
   1.28008  0.22966 -0.10063 -0.83706  0.000559  0.000235  0.002089     2.376
   1.29597  0.24523 -0.10377 -0.84796  0.000582  0.000244  0.002018     2.382
   1.31193  0.26091 -0.10679 -0.85771  0.000606  0.000254  0.001951     2.388
   1.32798  0.27669 -0.10969 -0.86648  0.000629  0.000263  0.001887     2.393
   1.34409  0.29256 -0.11249 -0.87436  0.000652  0.000272  0.001826     2.399
   1.36027  0.30851 -0.11519 -0.88147  0.000676  0.000281  0.001768     2.404
   1.37651  0.32453 -0.11778 -0.88789  0.000699  0.000290  0.001713     2.409
   1.39279  0.34063 -0.12029 -0.89371  0.000721  0.000299  0.001661     2.415
   1.40913  0.35678 -0.12271 -0.89898  0.000744  0.000308  0.001612     2.420
   1.42551  0.37299 -0.12505 -0.90377  0.000767  0.000316  0.001565     2.425
   1.44193  0.38926 -0.12730 -0.90813  0.000789  0.000325  0.001520     2.430
   1.45839  0.40557 -0.12948 -0.91209  0.000811  0.000333  0.001477     2.434
   1.47489  0.42193 -0.13159 -0.91571  0.000834  0.000342  0.001437     2.439
   1.49141  0.43834 -0.13364 -0.91901  0.000856  0.000350  0.001398     2.444
   1.50797  0.45478 -0.13561 -0.92202  0.000878  0.000359  0.001361     2.448
   1.52456  0.47125 -0.13753 -0.92478  0.000899  0.000367  0.001326     2.452
   1.54117  0.48776 -0.13938 -0.92730  0.000921  0.000375  0.001293     2.457
   1.55781  0.50430 -0.14118 -0.92960  0.000943  0.000383  0.001261     2.461
   1.57446  0.52086 -0.14292 -0.93171  0.000964  0.000391  0.001230     2.465
   1.59114  0.53746 -0.14461 -0.93363  0.000986  0.000399  0.001201     2.469
   1.60784  0.55407 -0.14625 -0.93539  0.001007  0.000407  0.001173     2.473
   1.62455  0.57071 -0.14784 -0.93699  0.001028  0.000415  0.001146     2.477
   1.64128  0.58737 -0.14938 -0.93845  0.001049  0.000423  0.001120     2.481
   1.65803  0.60405 -0.15088 -0.93976  0.001070  0.000431  0.001094     2.485
   1.67479  0.62074 -0.15233 -0.94094  0.001092  0.000439  0.001069     2.490
   1.69155  0.63745 -0.15374 -0.94199  0.001113  0.000446  0.001045     2.494
   1.70833  0.65417 -0.15511 -0.94290  0.001135  0.000454  0.001021     2.499
   1.72512  0.67091 -0.15644 -0.94368  0.001157  0.000462  0.000997     2.504
   1.74191  0.68765 -0.15772 -0.94433  0.001179  0.000470  0.000972     2.510
   1.75871  0.70441 -0.15897 -0.94483  0.001202  0.000478  0.000948     2.516
   1.77552  0.72117 -0.16018 -0.94518  0.001226  0.000486  0.000923     2.524
   1.79233  0.73794 -0.16134 -0.94535  0.001250  0.000494  0.000896     2.532
   1.80914  0.75471 -0.16247 -0.94534  0.001276  0.000502  0.000869     2.542
   1.82595  0.77149 -0.16356 -0.94511  0.001304  0.000511  0.000839     2.554
   1.84276  0.78826 -0.16461 -0.94462  0.001335  0.000520  0.000806     2.569
   1.85957  0.80504 -0.16561 -0.94383  0.001369  0.000529  0.000769     2.587
   1.87638  0.82182 -0.16658 -0.94266  0.001408  0.000539  0.000726     2.611
   1.89317  0.83859 -0.16751 -0.94104  0.001454  0.000550  0.000676     2.643
   1.90995  0.85534 -0.16839 -0.93882  0.001512  0.000562  0.000615     2.688
   1.92669  0.87206 -0.16922 -0.93587  0.001586  0.000576  0.000539     2.752
   1.94335  0.88871 -0.17001 -0.93201  0.001690  0.000593  0.000442     2.851
   1.95987  0.90521 -0.17075 -0.92724  0.001841  0.000611  0.000318     3.010
   1.97609  0.92142 -0.17143 -0.92201  0.002070  0.000632  0.000170     3.277
   1.99176  0.93707 -0.17205 -0.91762  0.002417  0.000650  0.000024     3.721
   2.00645  0.95175 -0.17259 -0.91495  0.002900  0.000661 -0.000071     4.388
   2.01968  0.96498 -0.17304 -0.91349  0.003524  0.000667 -0.000096     5.281
   2.03111  0.97640 -0.17340 -0.91311  0.004259  0.000669 -0.000091     6.367
   2.03952  0.98481 -0.17365 -0.91460  0.005770  0.000658 -0.000085     8.768
   2.03952  0.98491 -0.17367  0.91460  0.028805  0.010307  0.000000     2.795
   2.04793  0.99320 -0.17509  0.91626  0.025471  0.010220  0.000000     2.492
   2.05760  1.00275 -0.17663  0.91720  0.023737  0.010174  0.000000     2.333
   2.06873  1.01374 -0.17833  0.91887  0.022123  0.010096  0.000000     2.191
   2.08152  1.02639 -0.18022  0.92128  0.020600  0.009987  0.000000     2.063
   2.09624  1.04095 -0.18233  0.92450  0.019147  0.009849  0.000000     1.944
   2.11316  1.05771 -0.18466  0.92848  0.017773  0.009685  0.000000     1.835
   2.13262  1.07700 -0.18724  0.93310  0.016492  0.009505  0.000000     1.735
   2.15500  1.09920 -0.19011  0.93818  0.015318  0.009317  0.000000     1.644
   2.18074  1.12474 -0.19327  0.94351  0.014259  0.009129  0.000000     1.562
   2.21034  1.15414 -0.19677  0.94887  0.013315  0.008948  0.000000     1.488
   2.24438  1.18796 -0.20061  0.95410  0.012481  0.008780  0.000000     1.422
   2.28353  1.22689 -0.20483  0.95909  0.011751  0.008626  0.000000     1.362
   2.32856  1.27168 -0.20944  0.96377  0.011115  0.008487  0.000000     1.310
   2.38034  1.32321 -0.21447  0.96810  0.010562  0.008363  0.000000     1.263
   2.43990  1.38252 -0.21993  0.97206  0.010084  0.008253  0.000000     1.222
   2.50839  1.45075 -0.22585  0.97566  0.009672  0.008155  0.000000     1.186
   2.58715  1.52926 -0.23223  0.97891  0.009321  0.008070  0.000000     1.155
   2.67774  1.61959 -0.23908  0.98183  0.009022  0.007995  0.000000     1.129
   2.78192  1.72351 -0.24641  0.98443  0.008772  0.007929  0.000000     1.106
   2.90173  1.84306 -0.25422  0.98671  0.008563  0.007873  0.000000     1.088
   3.03952  1.98060 -0.26250  0.98923  0.008376  0.007811  0.000000     1.072
