#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.83495  0.005939  0.003018  0.000855     1.968
   0.00838  0.99180  0.00174  0.86840  0.004557  0.002587  0.001365     1.762
   0.01975  0.98067  0.00406  0.89692  0.003789  0.002284  0.001783     1.659
   0.03288  0.96782  0.00670  0.92350  0.003244  0.002039  0.002179     1.591
   0.04741  0.95357  0.00957  0.94668  0.002856  0.001848  0.002527     1.546
   0.06289  0.93838  0.01256  0.96654  0.002568  0.001696  0.002830     1.515
   0.07890  0.92265  0.01559  0.98351  0.002346  0.001571  0.003094     1.493
   0.09521  0.90663  0.01860  0.99817  0.002166  0.001466  0.003328     1.477
   0.11165  0.89046  0.02157  1.01101  0.002015  0.001375  0.003539     1.465
   0.12817  0.87420  0.02448  1.02243  0.001884  0.001294  0.003733     1.456
   0.14472  0.85789  0.02733  1.03270  0.001768  0.001221  0.003912     1.448
   0.16129  0.84156  0.03012  1.04204  0.001664  0.001153  0.004079     1.443
   0.17787  0.82521  0.03284  1.05059  0.001570  0.001090  0.004233     1.440
   0.19445  0.80884  0.03549  1.05845  0.001483  0.001031  0.004370     1.439
   0.21103  0.79246  0.03807  1.06570  0.001405  0.000975  0.004482     1.441
   0.22761  0.77607  0.04059  1.07238  0.001335  0.000922  0.004556     1.448
   0.24420  0.75967  0.04304  1.07849  0.001275  0.000872  0.004566     1.463
   0.26077  0.74326  0.04542  1.08404  0.001230  0.000824  0.004466     1.492
   0.27735  0.72685  0.04773  1.08906  0.001208  0.000781  0.004181     1.547
   0.29392  0.71043  0.04998  1.09390  0.001225  0.000742  0.003601     1.651
   0.31048  0.69401  0.05216  1.10006  0.001310  0.000705  0.002625     1.857
   0.32704  0.67759  0.05427  1.11181  0.001497  0.000663  0.001387     2.259
   0.34358  0.66117  0.05631  1.13203  0.001760  0.000605  0.000473     2.910
   0.36012  0.64475  0.05827  1.14188  0.001905  0.000576  0.000215     3.305
   0.37665  0.62833  0.06017  1.14458  0.001933  0.000568  0.000166     3.403
   0.39316  0.61192  0.06198  1.14802  0.001915  0.000558  0.000154     3.434
   0.40967  0.59551  0.06373  1.15183  0.001874  0.000547  0.000160     3.428
   0.42615  0.57911  0.06540  1.15590  0.001820  0.000535  0.000179     3.400
   0.44262  0.56271  0.06698  1.16019  0.001760  0.000524  0.000206     3.361
   0.45908  0.54633  0.06849  1.16467  0.001697  0.000512  0.000240     3.317
   0.47551  0.52996  0.06991  1.16931  0.001634  0.000499  0.000277     3.271
   0.49192  0.51360  0.07125  1.17410  0.001572  0.000487  0.000319     3.226
   0.50831  0.49726  0.07250  1.17902  0.001511  0.000475  0.000363     3.183
   0.52468  0.48094  0.07366  1.18406  0.001452  0.000462  0.000411     3.142
   0.54101  0.46464  0.07473  1.18923  0.001394  0.000449  0.000462     3.101
   0.55731  0.44836  0.07570  1.19454  0.001336  0.000437  0.000520     3.060
   0.57357  0.43213  0.07657  1.20001  0.001277  0.000423  0.000587     3.016
   0.58977  0.41594  0.07733  1.20566  0.001217  0.000410  0.000670     2.967
   0.60589  0.39984  0.07799  1.21175  0.001147  0.000396  0.000794     2.896
   0.62188  0.38386  0.07852  1.21767  0.001081  0.000382  0.000932     2.827
   0.63778  0.36796  0.07890  1.22284  0.001026  0.000369  0.001051     2.779
   0.65362  0.35212  0.07912  1.22752  0.000978  0.000357  0.001165     2.740
   0.66940  0.33634  0.07919  1.23171  0.000934  0.000345  0.001275     2.707
   0.68513  0.32061  0.07911  1.23546  0.000893  0.000333  0.001385     2.679
   0.70080  0.30494  0.07886  1.23877  0.000854  0.000322  0.001494     2.655
   0.71642  0.28933  0.07844  1.24164  0.000818  0.000310  0.001605     2.633
   0.73197  0.27379  0.07785  1.24406  0.000782  0.000299  0.001719     2.614
   0.74745  0.25833  0.07708  1.24601  0.000749  0.000288  0.001836     2.597
   0.76286  0.24295  0.07612  1.24745  0.000716  0.000277  0.001957     2.581
   0.77818  0.22767  0.07498  1.24836  0.000684  0.000267  0.002084     2.566
   0.79341  0.21251  0.07363  1.24869  0.000653  0.000256  0.002217     2.552
   0.80853  0.19747  0.07209  1.24838  0.000622  0.000245  0.002358     2.540
   0.82351  0.18258  0.07034  1.24737  0.000592  0.000234  0.002507     2.528
   0.83835  0.16788  0.06837  1.24559  0.000562  0.000223  0.002668     2.518
   0.85301  0.15338  0.06618  1.24294  0.000532  0.000212  0.002842     2.507
   0.86743  0.13916  0.06377  1.23931  0.000503  0.000201  0.003030     2.498
   0.88157  0.12527  0.06115  1.23457  0.000474  0.000190  0.003238     2.489
   0.89532  0.11181  0.05832  1.22858  0.000444  0.000179  0.003467     2.480
   0.90857  0.09891  0.05531  1.22119  0.000415  0.000168  0.003721     2.472
   0.92119  0.08670  0.05215  1.21226  0.000386  0.000157  0.004004     2.463
   0.93299  0.07535  0.04890  1.20165  0.000358  0.000146  0.004319     2.455
   0.94384  0.06501  0.04563  1.18928  0.000331  0.000135  0.004667     2.446
   0.95363  0.05576  0.04241  1.17513  0.000305  0.000125  0.005047     2.437
   0.96234  0.04762  0.03929  1.15916  0.000281  0.000116  0.005459     2.428
   0.97002  0.04054  0.03632  1.14129  0.000259  0.000107  0.005901     2.418
   0.97677  0.03441  0.03349  1.12139  0.000238  0.000099  0.006370     2.408
   0.98270  0.02912  0.03083  1.09921  0.000219  0.000091  0.006866     2.397
   0.98794  0.02453  0.02830  1.07439  0.000201  0.000084  0.007385     2.386
   0.99259  0.02055  0.02589  1.04644  0.000184  0.000078  0.007925     2.374
   0.99676  0.01707  0.02360  1.01471  0.000169  0.000072  0.008477     2.362
   1.00051  0.01404  0.02138  0.97837  0.000155  0.000066  0.009031     2.349
   1.00393  0.01138  0.01924  0.93639  0.000142  0.000061  0.009565     2.335
   1.00705  0.00906  0.01715  0.88749  0.000130  0.000056  0.010047     2.322
   1.00993  0.00704  0.01510  0.83013  0.000119  0.000051  0.010423     2.308
   1.01259  0.00530  0.01308  0.76249  0.000108  0.000047  0.010626     2.293
   1.01508  0.00381  0.01109  0.68267  0.000099  0.000043  0.010522     2.280
   1.01741  0.00258  0.00911  0.58870  0.000091  0.000040  0.010028     2.264
   1.01961  0.00159  0.00714  0.47947  0.000084  0.000037  0.008896     2.255
   1.02170  0.00084  0.00520  0.35477  0.000079  0.000035  0.007149     2.240
   1.02368  0.00034  0.00328  0.21692  0.000075  0.000034  0.004602     2.236
   1.02558  0.00006  0.00140  0.07011  0.000072  0.000032  0.001564     2.230
   1.02740  0.00001 -0.00042 -0.07896  0.000072  0.000032  0.001761     2.230
   1.02924  0.00016 -0.00225 -0.23295  0.000071  0.000032  0.005284     2.227
   1.03116  0.00056 -0.00413 -0.38887  0.000072  0.000032  0.008511     2.239
   1.03315  0.00122 -0.00601 -0.53620  0.000076  0.000034  0.011189     2.244
   1.03523  0.00215 -0.00788 -0.66787  0.000081  0.000036  0.012767     2.262
   1.03742  0.00334 -0.00971 -0.77928  0.000088  0.000039  0.013479     2.278
   1.03973  0.00480 -0.01150 -0.87017  0.000098  0.000042  0.013360     2.300
   1.04219  0.00653 -0.01325 -0.94232  0.000108  0.000047  0.012772     2.321
   1.04481  0.00853 -0.01495 -0.99879  0.000121  0.000052  0.011896     2.344
   1.04764  0.01081 -0.01661 -1.04260  0.000134  0.000057  0.010908     2.366
   1.05069  0.01339 -0.01825 -1.07643  0.000150  0.000063  0.009902     2.388
   1.05403  0.01631 -0.01986 -1.10245  0.000166  0.000069  0.008931     2.410
   1.05769  0.01960 -0.02147 -1.12234  0.000184  0.000076  0.008023     2.432
   1.06175  0.02333 -0.02307 -1.13738  0.000204  0.000083  0.007186     2.453
   1.06629  0.02758 -0.02468 -1.14851  0.000226  0.000091  0.006422     2.474
   1.07140  0.03242 -0.02630 -1.15645  0.000249  0.000100  0.005727     2.495
   1.07720  0.03799 -0.02793 -1.16172  0.000275  0.000109  0.005096     2.515
   1.08383  0.04441 -0.02959 -1.16470  0.000304  0.000120  0.004525     2.536
   1.09143  0.05182 -0.03124 -1.16566  0.000336  0.000131  0.004009     2.556
   1.10014  0.06037 -0.03289 -1.16486  0.000371  0.000144  0.003546     2.577
   1.11004  0.07015 -0.03450 -1.16252  0.000409  0.000157  0.003133     2.597
   1.12115  0.08116 -0.03602 -1.15888  0.000450  0.000172  0.002770     2.618
   1.13339  0.09331 -0.03741 -1.15423  0.000494  0.000187  0.002454     2.639
   1.14659  0.10646 -0.03865 -1.14884  0.000540  0.000203  0.002182     2.659
   1.16057  0.12040 -0.03970 -1.14298  0.000587  0.000219  0.001949     2.679
   1.17515  0.13494 -0.04057 -1.13686  0.000635  0.000235  0.001749     2.700
   1.19017  0.14996 -0.04126 -1.13062  0.000683  0.000251  0.001577     2.719
   1.20554  0.16532 -0.04177 -1.12439  0.000731  0.000267  0.001429     2.739
   1.22118  0.18095 -0.04212 -1.11822  0.000779  0.000283  0.001301     2.758
   1.23703  0.19680 -0.04234 -1.11216  0.000828  0.000298  0.001189     2.777
   1.25305  0.21282 -0.04242 -1.10626  0.000876  0.000313  0.001091     2.796
   1.26922  0.22899 -0.04239 -1.10052  0.000923  0.000328  0.001005     2.813
   1.28551  0.24528 -0.04226 -1.09498  0.000970  0.000343  0.000930     2.830
   1.30191  0.26168 -0.04204 -1.08964  0.001017  0.000357  0.000864     2.846
   1.31840  0.27817 -0.04174 -1.08452  0.001062  0.000371  0.000808     2.860
   1.33498  0.29474 -0.04137 -1.07964  0.001107  0.000385  0.000759     2.872
   1.35163  0.31139 -0.04094 -1.07501  0.001149  0.000399  0.000718     2.881
   1.36835  0.32810 -0.04046 -1.07064  0.001190  0.000412  0.000684     2.888
   1.38512  0.34486 -0.03993 -1.06657  0.001227  0.000425  0.000659     2.890
   1.40194  0.36167 -0.03937 -1.06284  0.001261  0.000437  0.000642     2.887
   1.41879  0.37851 -0.03878 -1.05950  0.001290  0.000448  0.000634     2.877
   1.43565  0.39536 -0.03816 -1.05672  0.001311  0.000459  0.000642     2.855
   1.45245  0.41215 -0.03751 -1.05449  0.001325  0.000469  0.000659     2.827
   1.46922  0.42890 -0.03682 -1.05189  0.001354  0.000479  0.000646     2.824
   1.48599  0.44566 -0.03608 -1.04913  0.001388  0.000490  0.000621     2.832
   1.50279  0.46244 -0.03530 -1.04625  0.001428  0.000501  0.000590     2.847
   1.51960  0.47923 -0.03448 -1.04329  0.001469  0.000513  0.000558     2.865
   1.53645  0.49605 -0.03362 -1.04031  0.001513  0.000524  0.000525     2.885
   1.55331  0.51289 -0.03272 -1.03732  0.001557  0.000536  0.000493     2.906
   1.57020  0.52976 -0.03180 -1.03435  0.001602  0.000547  0.000464     2.927
   1.58711  0.54664 -0.03085 -1.03143  0.001646  0.000558  0.000437     2.947
   1.60404  0.56354 -0.02988 -1.02857  0.001689  0.000570  0.000413     2.965
   1.62099  0.58046 -0.02888 -1.02580  0.001730  0.000581  0.000393     2.980
   1.63796  0.59740 -0.02786 -1.02315  0.001768  0.000591  0.000377     2.991
   1.65494  0.61435 -0.02682 -1.02066  0.001802  0.000601  0.000366     2.996
   1.67193  0.63131 -0.02577 -1.01840  0.001828  0.000611  0.000363     2.991
   1.68894  0.64828 -0.02470 -1.01654  0.001840  0.000620  0.000372     2.969
   1.70596  0.66527 -0.02362 -1.01547  0.001826  0.000626  0.000406     2.916
   1.72298  0.68226 -0.02253 -1.01107  0.001736  0.000644  0.000569     2.698
   1.74002  0.69926 -0.02142 -1.00037  0.001555  0.000682  0.001118     2.280
   1.75706  0.71626 -0.02031 -0.99186  0.001389  0.000720  0.001944     1.931
   1.77410  0.73327 -0.01918 -0.98722  0.001291  0.000753  0.002721     1.714
