actuator_unsteady 200 80 1.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
48           6.28318531e-02   2.95309709e+00   6.30777099e-04   2.22391550e-15   3.81952177e+01   3.59122796e+00   1.90095498e+01 
49           6.28318531e-02   3.01592895e+00   6.27823835e-04   2.27248775e-15   3.81518025e+01   3.70981823e+00   1.89998567e+01 
50           6.28318531e-02   3.07876080e+00   6.24820380e-04   2.32452946e-15   3.81094561e+01   3.82843921e+00   1.89911771e+01 
51           6.28318531e-02   3.14159265e+00   6.21812870e-04   2.35922393e-15   3.80682377e+01   3.94697415e+00   1.89835014e+01 
52           6.28318531e-02   3.20442451e+00   6.18834673e-04   2.41993925e-15   3.80282030e+01   4.06530527e+00   1.89768164e+01 
53           6.28318531e-02   3.26725636e+00   6.15905863e-04   2.43381704e-15   3.79894034e+01   4.18331382e+00   1.89711057e+01 
54           6.28318531e-02   3.33008821e+00   6.13492638e-04   2.47718512e-15   3.79518862e+01   4.30088010e+00   1.89663498e+01 
55           6.28318531e-02   3.39292007e+00   6.11576471e-04   2.53096155e-15   3.79156942e+01   4.41788354e+00   1.89625258e+01 
56           6.28318531e-02   3.45575192e+00   6.09827181e-04   2.57779909e-15   3.78808660e+01   4.53420279e+00   1.89596080e+01 
57           6.28318531e-02   3.51858377e+00   6.07933070e-04   2.60208521e-15   3.78474355e+01   4.64971582e+00   1.89575676e+01 
58           6.28318531e-02   3.58141563e+00   6.05742159e-04   2.62984079e-15   3.78154320e+01   4.76430002e+00   1.89563731e+01 
59           6.28318531e-02   3.64424748e+00   6.04133935e-04   2.65933109e-15   3.77848798e+01   4.87783232e+00   1.89559901e+01 
60           6.28318531e-02   3.70707933e+00   6.04157067e-04   2.69576028e-15   3.77557986e+01   4.99018937e+00   1.89563818e+01 
61           6.28318531e-02   3.76991118e+00   6.07470213e-04   2.72178113e-15   3.77282028e+01   5.10124763e+00   1.89575085e+01 
62           6.28318531e-02   3.83274304e+00   6.11321571e-04   2.75127143e-15   3.77021021e+01   5.21088357e+00   1.89593284e+01 
63           6.28318531e-02   3.89557489e+00   6.15472756e-04   2.78596590e-15   3.76775007e+01   5.31897385e+00   1.89617968e+01 
64           6.28318531e-02   3.95840674e+00   6.19471220e-04   2.81719092e-15   3.76543976e+01   5.42539547e+00   1.89648671e+01 
65           6.28318531e-02   4.02123860e+00   6.23280025e-04   2.86576318e-15   3.76327867e+01   5.53002600e+00   1.89684901e+01 
