shear_layer_ROM 200 200 1.000e+100
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
48           1.00000000e-02   4.70000000e-01   1.80603406e-04   3.96817995e-17   3.94784176e+01  -2.50823396e-17   3.68711987e+01 
49           1.00000000e-02   4.80000000e-01   1.81594090e-04   3.88144378e-17   3.94784176e+01  -2.99341444e-17   3.68711987e+01 
50           1.00000000e-02   4.90000000e-01   1.82613072e-04   3.53449908e-17   3.94784176e+01  -3.30681663e-18   3.68711987e+01 
51           1.00000000e-02   5.00000000e-01   1.83623863e-04   3.77302356e-17   3.94784176e+01   5.30920251e-18   3.68711987e+01 
52           1.00000000e-02   5.10000000e-01   1.84686979e-04   3.57786717e-17   3.94784176e+01  -2.64375923e-17   3.68711987e+01 
53           1.00000000e-02   5.20000000e-01   1.85731695e-04   3.62123526e-17   3.94784176e+01  -1.46197887e-17   3.68711987e+01 
54           1.00000000e-02   5.30000000e-01   1.86824718e-04   3.82723367e-17   3.94784176e+01  -1.39828199e-17   3.68711987e+01 
55           1.00000000e-02   5.40000000e-01   1.87911727e-04   3.49113100e-17   3.94784176e+01  -5.84927072e-17   3.68711987e+01 
56           1.00000000e-02   5.50000000e-01   1.89025874e-04   3.77302356e-17   3.94784176e+01  -1.89464330e-17   3.68711987e+01 
57           1.00000000e-02   5.60000000e-01   1.90154435e-04   3.98986399e-17   3.94784176e+01  -1.37930845e-17   3.68711987e+01 
58           1.00000000e-02   5.70000000e-01   1.91290030e-04   3.77302356e-17   3.94784176e+01   2.58649981e-17   3.68711987e+01 
59           1.00000000e-02   5.80000000e-01   1.92459392e-04   3.85975973e-17   3.94784176e+01  -1.91463327e-17   3.68711987e+01 
60           1.00000000e-02   5.90000000e-01   1.93616764e-04   3.61039323e-17   3.94784176e+01  -1.42708111e-17   3.68711987e+01 
61           1.00000000e-02   6.00000000e-01   1.94826165e-04   3.83807569e-17   3.94784176e+01  -2.16874316e-17   3.68711987e+01 
62           1.00000000e-02   6.10000000e-01   1.96010986e-04   3.82723367e-17   3.94784176e+01  -7.06086665e-18   3.68711987e+01 
63           1.00000000e-02   6.20000000e-01   1.97254321e-04   3.48028897e-17   3.94784176e+01   1.01067971e-17   3.68711987e+01 
64           1.00000000e-02   6.30000000e-01   1.98477109e-04   3.97902197e-17   3.94784176e+01  -2.00103063e-17   3.68711987e+01 
65           1.00000000e-02   6.40000000e-01   1.99743428e-04   3.82181266e-17   3.94784176e+01  -2.88330015e-18   3.68711987e+01 
66           1.00000000e-02   6.50000000e-01   2.01003371e-04   3.70797143e-17   3.94784176e+01  -1.25428639e-17   3.68711987e+01 
67           1.00000000e-02   6.60000000e-01   2.02293051e-04   3.62123526e-17   3.94784176e+01  -3.39490805e-18   3.68711987e+01 
68           1.00000000e-02   6.70000000e-01   2.03589329e-04   3.80554963e-17   3.94784176e+01  -3.31562577e-17   3.68711987e+01 
69           1.00000000e-02   6.80000000e-01   2.04902758e-04   3.68628739e-17   3.94784176e+01  -6.50182490e-18   3.68711987e+01 
70           1.00000000e-02   6.90000000e-01   2.06234543e-04   3.70797143e-17   3.94784176e+01  -2.21922632e-17   3.68711987e+01 
71           1.00000000e-02   7.00000000e-01   2.07572119e-04   3.70797143e-17   3.94784176e+01  -3.13469953e-17   3.68711987e+01 
72           1.00000000e-02   7.10000000e-01   2.08938571e-04   3.72965547e-17   3.94784176e+01   1.08420217e-18   3.68711987e+01 
73           1.00000000e-02   7.20000000e-01   2.10300704e-04   3.42607887e-17   3.94784176e+01  -2.02779688e-17   3.68711987e+01 
74           1.00000000e-02   7.30000000e-01   2.11700977e-04   3.55618313e-17   3.94784176e+01  -2.32663010e-17   3.68711987e+01 
75           1.00000000e-02   7.40000000e-01   2.13088087e-04   3.55618313e-17   3.94784176e+01  -8.92772726e-18   3.68711987e+01 
76           1.00000000e-02   7.50000000e-01   2.14521325e-04   4.03323208e-17   3.94784176e+01  -3.28038920e-17   3.68711987e+01 
77           1.00000000e-02   7.60000000e-01   2.15933845e-04   3.81639165e-17   3.94784176e+01  -3.67984994e-17   3.68711987e+01 
78           1.00000000e-02   7.70000000e-01   2.17486973e-04   3.62123526e-17   3.94784176e+01  -3.04897980e-17   3.68711987e+01 
79           1.00000000e-02   7.80000000e-01   2.19085425e-04   3.59972062e-17   3.94784176e+01  -2.03830008e-17   3.68711987e+01 
80           1.00000000e-02   7.90000000e-01   2.20705488e-04   3.81639165e-17   3.94784176e+01  -7.04392599e-18   3.68711987e+01 
81           1.00000000e-02   8.00000000e-01   2.22338333e-04   3.88144378e-17   3.94784176e+01  -4.50011664e-17   3.68711987e+01 
82           1.00000000e-02   8.10000000e-01   2.23984351e-04   3.52907807e-17   3.94784176e+01  -2.41234983e-17   3.68711987e+01 
83           1.00000000e-02   8.20000000e-01   2.25652287e-04   3.78386558e-17   3.94784176e+01  -2.24971951e-17   3.68711987e+01 
84           1.00000000e-02   8.30000000e-01   2.27323012e-04   3.62123526e-17   3.94784176e+01  -3.88550954e-17   3.68711987e+01 
