LDC_unsteady 20 20 1.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
1            1.00000000e-02   0.00000000e+00   1.79850394e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
2            1.00000000e-02   1.00000000e-02   1.60193593e-02   8.02309608e-18  -8.05020113e-18   1.35118696e-17   1.09000460e-04 
3            1.00000000e-02   2.00000000e-02   1.42920383e-02   1.40946282e-17  -1.91361683e-17   2.51263853e-17   3.89073311e-04 
4            1.00000000e-02   3.00000000e-02   1.27725260e-02   1.69135539e-17  -2.51263853e-17   3.66189284e-17   7.84367982e-04 
5            1.00000000e-02   4.00000000e-02   1.14342806e-02   1.90819582e-17  -2.97071395e-17   4.80301562e-17   1.25431154e-03 
6            1.00000000e-02   5.00000000e-02   1.02569657e-02   2.12503626e-17  -4.42354486e-17   5.81132364e-17   1.76959628e-03 
7            1.00000000e-02   6.00000000e-02   9.22049462e-03   2.25514052e-17  -5.00901404e-17   6.72747448e-17   2.30921367e-03 
8            1.00000000e-02   7.00000000e-02   8.30436657e-03   2.68882139e-17  -5.44269491e-17   7.38883781e-17   2.85826028e-03 
9            1.00000000e-02   8.00000000e-02   7.49348616e-03   3.20923843e-17  -5.99563801e-17   8.11525326e-17   3.40631432e-03 
10           1.00000000e-02   9.00000000e-02   6.77972051e-03   3.38271078e-17  -5.97395397e-17   8.89045781e-17   3.94623417e-03 
11           1.00000000e-02   1.00000000e-01   6.14668626e-03   3.64291930e-17  -8.44593492e-17   9.88792381e-17   4.47326941e-03 
12           1.00000000e-02   1.10000000e-01   5.58576458e-03   3.98986399e-17  -8.73866951e-17   1.07227595e-16   4.98440349e-03 
13           1.00000000e-02   1.20000000e-01   5.08963866e-03   4.33680869e-17  -9.02056208e-17   1.14491749e-16   5.47786813e-03 
14           1.00000000e-02   1.30000000e-01   4.64761530e-03   4.85722573e-17  -8.46761897e-17   1.22840106e-16   5.95278516e-03 
15           1.00000000e-02   1.40000000e-01   4.25696555e-03   5.03069808e-17  -9.89876583e-17   1.25767452e-16   6.40890287e-03 
16           1.00000000e-02   1.50000000e-01   3.90679135e-03   5.20417043e-17  -1.00288701e-16   1.32164245e-16   6.84640259e-03 
17           1.00000000e-02   1.60000000e-01   3.59331583e-03   5.20417043e-17  -1.24032729e-16   1.36934734e-16   7.26575722e-03 
