#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.88313  0.009226  0.004475  0.000711     2.062
   0.00838  0.99180  0.00174  0.91057  0.007346  0.003960  0.001114     1.855
   0.01975  0.98067  0.00406  0.93101  0.006408  0.003631  0.001386     1.765
   0.03288  0.96782  0.00670  0.95194  0.005648  0.003331  0.001664     1.696
   0.04741  0.95357  0.00957  0.97200  0.005051  0.003072  0.001928     1.644
   0.06289  0.93838  0.01256  0.99080  0.004575  0.002850  0.002176     1.605
   0.07890  0.92265  0.01559  1.00797  0.004195  0.002662  0.002402     1.576
   0.09521  0.90663  0.01860  1.02357  0.003886  0.002501  0.002608     1.554
   0.11165  0.89046  0.02157  1.03795  0.003625  0.002360  0.002798     1.536
   0.12817  0.87420  0.02448  1.05097  0.003406  0.002237  0.002970     1.523
   0.14472  0.85789  0.02733  1.06308  0.003215  0.002126  0.003131     1.512
   0.16129  0.84156  0.03012  1.07459  0.003042  0.002025  0.003287     1.503
   0.17787  0.82521  0.03284  1.08510  0.002891  0.001933  0.003428     1.495
   0.19445  0.80884  0.03549  1.09534  0.002750  0.001847  0.003570     1.489
   0.21103  0.79246  0.03807  1.10503  0.002621  0.001767  0.003705     1.483
   0.22761  0.77607  0.04059  1.11429  0.002501  0.001691  0.003837     1.479
   0.24420  0.75967  0.04304  1.12324  0.002387  0.001619  0.003968     1.475
   0.26077  0.74326  0.04542  1.13200  0.002280  0.001550  0.004099     1.471
   0.27735  0.72685  0.04773  1.14035  0.002179  0.001485  0.004228     1.467
   0.29392  0.71043  0.04998  1.14877  0.002079  0.001421  0.004363     1.464
   0.31048  0.69401  0.05216  1.15674  0.001987  0.001360  0.004494     1.461
   0.32704  0.67759  0.05427  1.16474  0.001895  0.001300  0.004633     1.458
   0.34359  0.66117  0.05631  1.17256  0.001807  0.001242  0.004773     1.455
   0.36012  0.64475  0.05827  1.18038  0.001721  0.001185  0.004921     1.452
   0.37665  0.62833  0.06017  1.18791  0.001638  0.001130  0.005070     1.449
   0.39317  0.61192  0.06198  1.19564  0.001556  0.001076  0.005232     1.446
   0.40967  0.59551  0.06373  1.20309  0.001476  0.001023  0.005395     1.443
   0.42615  0.57911  0.06540  1.21066  0.001398  0.000970  0.005569     1.440
   0.44262  0.56271  0.06698  1.21805  0.001322  0.000919  0.005746     1.438
   0.45908  0.54633  0.06849  1.22550  0.001247  0.000868  0.005928     1.436
   0.47551  0.52996  0.06991  1.23271  0.001175  0.000818  0.006100     1.436
   0.49192  0.51360  0.07125  1.24002  0.001106  0.000769  0.006258     1.439
   0.50831  0.49726  0.07250  1.24710  0.001043  0.000721  0.006365     1.447
   0.52468  0.48093  0.07366  1.25399  0.000988  0.000674  0.006363     1.465
   0.54101  0.46463  0.07473  1.26050  0.000949  0.000630  0.006132     1.506
   0.55731  0.44836  0.07570  1.26725  0.000939  0.000589  0.005473     1.593
   0.57357  0.43213  0.07657  1.27541  0.000986  0.000552  0.004097     1.787
   0.58977  0.41594  0.07733  1.29112  0.001134  0.000511  0.002088     2.219
   0.60589  0.39984  0.07799  1.32001  0.001355  0.000456  0.000652     2.972
   0.62188  0.38386  0.07852  1.33049  0.001416  0.000436  0.000380     3.251
   0.63779  0.36796  0.07890  1.33578  0.001393  0.000425  0.000366     3.278
   0.65362  0.35212  0.07912  1.34195  0.001342  0.000413  0.000406     3.249
   0.66941  0.33634  0.07919  1.34864  0.001281  0.000401  0.000477     3.197
   0.68513  0.32061  0.07911  1.35557  0.001219  0.000388  0.000559     3.142
   0.70081  0.30494  0.07886  1.36279  0.001156  0.000375  0.000660     3.083
   0.71642  0.28933  0.07844  1.37002  0.001099  0.000362  0.000758     3.033
   0.73197  0.27379  0.07785  1.37740  0.001042  0.000349  0.000870     2.984
