#      x          Cp  
     1.00000   -0.14999
     0.99180   -0.15117
     0.98067   -0.15294
     0.96782   -0.15507
     0.95357   -0.15754
     0.93838   -0.16029
     0.92265   -0.16327
     0.90663   -0.16645
     0.89046   -0.16982
     0.87420   -0.17337
     0.85789   -0.17711
     0.84156   -0.18104
     0.82521   -0.18518
     0.80884   -0.18952
     0.79246   -0.19409
     0.77607   -0.19888
     0.75967   -0.20392
     0.74326   -0.20921
     0.72685   -0.21476
     0.71043   -0.22058
     0.69401   -0.22666
     0.67759   -0.23301
     0.66117   -0.23967
     0.64475   -0.24663
     0.62833   -0.25393
     0.61192   -0.26158
     0.59551   -0.26959
     0.57911   -0.27799
     0.56271   -0.28679
     0.54633   -0.29599
     0.52996   -0.30562
     0.51360   -0.31567
     0.49726   -0.32617
     0.48093   -0.33710
     0.46463   -0.34848
     0.44836   -0.36030
     0.43213   -0.37254
     0.41594   -0.38519
     0.39984   -0.39821
     0.38386   -0.41149
     0.36796   -0.42497
     0.35212   -0.43862
     0.33634   -0.45239
     0.32061   -0.46620
     0.30494   -0.48002
     0.28933   -0.49371
     0.27379   -0.50725
     0.25833   -0.52048
     0.24295   -0.53338
     0.22767   -0.54574
     0.21250   -0.55750
     0.19747   -0.56849
     0.18258   -0.57862
     0.16787   -0.58763
     0.15338   -0.59526
     0.13916   -0.60139
     0.12527   -0.60559
     0.11181   -0.60756
     0.09890   -0.60675
     0.08670   -0.60280
     0.07535   -0.59526
     0.06500   -0.58367
     0.05576   -0.56749
     0.04762   -0.54667
     0.04054   -0.52128
     0.03441   -0.49080
     0.02912   -0.45521
     0.02453   -0.41324
     0.02055   -0.36498
     0.01707   -0.30990
     0.01404   -0.24616
     0.01138   -0.17357
     0.00906   -0.09053
     0.00704    0.00328
     0.00530    0.11039
     0.00381    0.23009
     0.00258    0.35884
     0.00159    0.49524
     0.00084    0.63066
     0.00034    0.75751
     0.00006    0.86266
     0.00001    0.93968
     0.00016    0.98751
     0.00056    0.99920
     0.00122    0.97156
     0.00215    0.90896
     0.00334    0.82382
     0.00480    0.72631
     0.00653    0.62550
     0.00853    0.52807
     0.01081    0.43633
     0.01339    0.35155
     0.01631    0.27560
     0.01960    0.20722
     0.02333    0.14633
     0.02758    0.09176
     0.03242    0.04387
     0.03799    0.00107
     0.04440   -0.03654
     0.05182   -0.06924
     0.06037   -0.09705
     0.07015   -0.12008
     0.08115   -0.13894
     0.09331   -0.15345
     0.10645   -0.16428
     0.12039   -0.17213
     0.13494   -0.17730
     0.14995   -0.18059
     0.16531   -0.18240
     0.18095   -0.18303
     0.19679   -0.18280
     0.21282   -0.18197
     0.22898   -0.18065
     0.24528   -0.17901
     0.26167   -0.17717
     0.27816   -0.17528
     0.29474   -0.17325
     0.31138   -0.17132
     0.32809   -0.16941
     0.34486   -0.16764
     0.36167   -0.16598
     0.37851   -0.16452
     0.39535   -0.16327
     0.41214   -0.16224
     0.42890   -0.16124
     0.44566   -0.16026
     0.46243   -0.15928
     0.47923   -0.15833
     0.49605   -0.15740
     0.51289   -0.15649
     0.52976   -0.15561
     0.54664   -0.15474
     0.56354   -0.15393
     0.58046   -0.15316
     0.59740   -0.15244
     0.61435   -0.15179
     0.63131   -0.15119
     0.64828   -0.15066
     0.66526   -0.15021
     0.68226   -0.14983
     0.69925   -0.14953
     0.71626   -0.14932
     0.73327   -0.14919
     0.75028   -0.14916
     0.76729   -0.14920
     0.78431   -0.14934
     0.80132   -0.14957
     0.81833   -0.14988
     0.83534   -0.15028
     0.85233   -0.15076
     0.86931   -0.15132
     0.88624   -0.15193
     0.90311   -0.15258
     0.91982   -0.15325
     0.93623   -0.15391
     0.95206   -0.15447
     0.96689   -0.15484
     0.98019   -0.15480
     0.99163   -0.15427
     1.00000   -0.14999
