#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   2.04153  1.00010 -0.00001  1.08305  0.242582  0.063949  0.000000     3.793
   2.04992  1.00848 -0.00051  1.08246  0.239779  0.064150  0.000000     3.738
   2.05957  1.01812 -0.00099  1.08172  0.238658  0.064401  0.000000     3.706
   2.07067  1.02921 -0.00147  1.08087  0.237637  0.064690  0.000000     3.673
   2.08345  1.04197 -0.00196  1.07989  0.236641  0.065022  0.000000     3.639
   2.09814  1.05665 -0.00246  1.07878  0.235600  0.065400  0.000000     3.602
   2.11503  1.07354 -0.00295  1.07751  0.234467  0.065831  0.000000     3.562
   2.13447  1.09297 -0.00343  1.07607  0.233200  0.066320  0.000000     3.516
   2.15682  1.11532 -0.00389  1.07445  0.231758  0.066873  0.000000     3.466
   2.18254  1.14103 -0.00431  1.07261  0.230089  0.067496  0.000000     3.409
   2.21211  1.17061 -0.00467  1.07056  0.228136  0.068195  0.000000     3.345
   2.24613  1.20463 -0.00494  1.06827  0.225828  0.068974  0.000000     3.274
   2.28526  1.24376 -0.00510  1.06574  0.223075  0.069836  0.000000     3.194
   2.33027  1.28877 -0.00509  1.06297  0.219770  0.070780  0.000000     3.105
   2.38204  1.34054 -0.00487  1.05997  0.215772  0.071797  0.000000     3.005
   2.44159  1.40008 -0.00437  1.05680  0.210901  0.072869  0.000000     2.894
   2.51009  1.46857 -0.00353  1.05356  0.204914  0.073958  0.000000     2.771
   2.58887  1.54735 -0.00225  1.05046  0.197460  0.074990  0.000000     2.633
   2.67949  1.63795 -0.00043  1.04793  0.187971  0.075820  0.000000     2.479
   2.78373  1.74215  0.00205  1.04699  0.175292  0.076117  0.000000     2.303
   2.90362  1.86200  0.00534  1.05028  0.157299  0.075124  0.000000     2.094
   3.04153  1.99984  0.00960  1.09780  0.104958  0.063282  0.000000     1.659
