#      x          Cp  
     1.00000    0.22009
     0.99180    0.17086
     0.98067    0.13321
     0.96782    0.09381
     0.95357    0.05521
     0.93838    0.01832
     0.92265   -0.01600
     0.90663   -0.04769
     0.89046   -0.07734
     0.87420   -0.10454
     0.85789   -0.13015
     0.84156   -0.15474
     0.82521   -0.17743
     0.80884   -0.19978
     0.79246   -0.22110
     0.77607   -0.24164
     0.75967   -0.26168
     0.74326   -0.28142
     0.72685   -0.30039
     0.71043   -0.31968
     0.69401   -0.33804
     0.67759   -0.35662
     0.66117   -0.37489
     0.64475   -0.39330
     0.62833   -0.41113
     0.61192   -0.42956
     0.59551   -0.44742
     0.57911   -0.46569
     0.56271   -0.48365
     0.54633   -0.50184
     0.52996   -0.51957
     0.51360   -0.53765
     0.49726   -0.55525
     0.48093   -0.57249
     0.46463   -0.58885
     0.44836   -0.60593
     0.43213   -0.62668
     0.41594   -0.66698
     0.39984   -0.74243
     0.38386   -0.77020
     0.36796   -0.78431
     0.35212   -0.80083
     0.33634   -0.81882
     0.32061   -0.83757
     0.30494   -0.85720
     0.28933   -0.87696
     0.27379   -0.89723
     0.25833   -0.91733
     0.24295   -0.93799
     0.22767   -0.95821
     0.21250   -0.97867
     0.19747   -0.99883
     0.18258   -1.01975
     0.16787   -1.04075
     0.15338   -1.06107
     0.13916   -1.08279
     0.12527   -1.10434
     0.11181   -1.12718
     0.09890   -1.14986
     0.08670   -1.17307
     0.07535   -1.19760
     0.06500   -1.22341
     0.05576   -1.24747
     0.04762   -1.27006
     0.04054   -1.29360
     0.03441   -1.31337
     0.02912   -1.33466
     0.02453   -1.34770
     0.02055   -1.35550
     0.01707   -1.36311
     0.01404   -1.35604
     0.01138   -1.34260
     0.00906   -1.31064
     0.00704   -1.27027
     0.00530   -1.20516
     0.00381   -1.09072
     0.00258   -0.96507
     0.00159   -0.77744
     0.00084   -0.56575
     0.00034   -0.30801
     0.00006   -0.03188
     0.00001    0.21401
     0.00016    0.46146
     0.00056    0.67490
     0.00122    0.84328
     0.00215    0.94966
     0.00334    0.99481
     0.00480    0.99489
     0.00653    0.96226
     0.00853    0.91021
     0.01081    0.84655
     0.01339    0.77719
     0.01631    0.71083
     0.01960    0.64305
     0.02333    0.57987
     0.02758    0.51763
     0.03242    0.46340
     0.03799    0.40815
     0.04440    0.35901
     0.05182    0.31319
     0.06037    0.27237
     0.07015    0.23653
     0.08115    0.20319
     0.09331    0.17693
     0.10645    0.15463
     0.12039    0.13569
     0.13494    0.12209
     0.14995    0.11053
     0.16531    0.10142
     0.18095    0.09471
     0.19679    0.08973
     0.21282    0.08600
     0.22898    0.08329
     0.24528    0.08168
     0.26167    0.08067
     0.27816    0.07954
     0.29474    0.07980
     0.31138    0.07921
     0.32809    0.07958
     0.34486    0.07925
     0.36167    0.07932
     0.37851    0.07878
     0.39535    0.07764
     0.41214    0.07524
     0.42890    0.07438
     0.44566    0.07421
     0.46243    0.07473
     0.47923    0.07567
     0.49605    0.07668
     0.51289    0.07821
     0.52976    0.07973
     0.54664    0.08172
     0.56354    0.08349
     0.58046    0.08552
     0.59740    0.08776
     0.61435    0.08999
     0.63131    0.09228
     0.64828    0.09473
     0.66526    0.09732
     0.68226    0.09995
     0.69925    0.10281
     0.71626    0.10575
     0.73327    0.10900
     0.75028    0.11241
     0.76729    0.11628
     0.78431    0.12046
     0.80132    0.12514
     0.81833    0.13044
     0.83534    0.13647
     0.85233    0.14301
     0.86931    0.15000
     0.88624    0.15671
     0.90311    0.16228
     0.91982    0.16648
     0.93623    0.16959
     0.95206    0.17144
     0.96689    0.17221
     0.98019    0.17221
     0.99163    0.17175
     1.00000    0.22009
