actuator_ROM 240 80 5.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
48           2.50000000e-02   1.17500000e+00   1.25077503e-03   3.46944695e-17   4.75825110e+01  -6.85090836e-19   2.38713758e+01 
49           2.50000000e-02   1.20000000e+00   1.24097005e-03   3.25260652e-17   4.75798597e+01   4.71670297e-18   2.38685326e+01 
50           2.50000000e-02   1.22500000e+00   1.25024907e-03   3.07354375e-17   4.75775866e+01  -5.82393385e-18   2.38660613e+01 
51           2.50000000e-02   1.25000000e+00   1.25533983e-03   3.23634348e-17   4.75756693e+01  -5.08251532e-18   2.38639419e+01 
52           2.50000000e-02   1.27500000e+00   1.25213515e-03   3.16587034e-17   4.75740832e+01  -3.98280186e-18   2.38621524e+01 
53           2.50000000e-02   1.30000000e+00   1.26450122e-03   3.09878533e-17   4.75728015e+01  -5.17373018e-18   2.38606683e+01 
54           2.50000000e-02   1.32500000e+00   1.26199953e-03   2.92870112e-17   4.75717957e+01   3.17404421e-18   2.38594628e+01 
55           2.50000000e-02   1.35000000e+00   1.26901479e-03   3.25260652e-17   4.75710357e+01  -6.49944262e-18   2.38585073e+01 
56           2.50000000e-02   1.37500000e+00   1.26756003e-03   3.07913417e-17   4.75704896e+01  -9.74093183e-18   2.38577711e+01 
57           2.50000000e-02   1.40000000e+00   1.27186944e-03   3.15324955e-17   4.75701244e+01   6.77891056e-18   2.38572217e+01 
58           2.50000000e-02   1.42500000e+00   1.27799765e-03   2.99239800e-17   4.75699059e+01   1.21785338e-17   2.38568250e+01 
59           2.50000000e-02   1.45000000e+00   1.28377273e-03   3.11166024e-17   4.75697992e+01  -3.19064606e-17   2.38565458e+01 
60           2.50000000e-02   1.47500000e+00   1.28690631e-03   3.65105082e-17   4.75697684e+01   8.12929283e-18   2.38563474e+01 
61           2.50000000e-02   1.50000000e+00   1.29180490e-03   2.90566182e-17   4.75697774e+01  -4.36772539e-18   2.38561925e+01 
62           2.50000000e-02   1.52500000e+00   1.29198341e-03   2.95343448e-17   4.75697897e+01  -1.58443866e-17   2.38560430e+01 
63           2.50000000e-02   1.55000000e+00   1.29633402e-03   3.02712635e-17   4.75697690e+01  -1.71148301e-17   2.38558607e+01 
64           2.50000000e-02   1.57500000e+00   1.29505299e-03   3.08099764e-17   4.75696789e+01   1.87012169e-17   2.38556071e+01 
65           2.50000000e-02   1.60000000e+00   1.30323118e-03   3.13571597e-17   4.75694837e+01   2.27829628e-17   2.38552442e+01 
