actuator_ROM 80 40 1.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
1            5.00000000e-02   0.00000000e+00   6.73148536e-03   0.00000000e+00   3.20025000e+01   0.00000000e+00   1.62018754e+01
2            5.00000000e-02   5.00000000e-02   6.79091492e-03   5.79966635e-17   3.19910288e+01   7.60523090e-19   1.61884055e+01 
3            5.00000000e-02   1.00000000e-01   6.24009984e-03   7.96160401e-17   3.19795865e+01   7.17278088e-19   1.61751353e+01 
4            5.00000000e-02   1.50000000e-01   4.99245343e-03   1.09155268e-16   3.19681723e+01  -6.57032869e-19   1.61620250e+01 
5            5.00000000e-02   2.00000000e-01   3.50024472e-03   1.13515967e-16   3.19567865e+01  -4.87096884e-19   1.61490432e+01 
6            5.00000000e-02   2.50000000e-01   3.64242934e-03   9.95156400e-17   3.19454302e+01   8.67319386e-18   1.61361672e+01 
7            5.00000000e-02   3.00000000e-01   3.15378501e-03   1.41596804e-16   3.19341046e+01  -2.13875819e-20   1.61233825e+01 
8            5.00000000e-02   3.50000000e-01   2.83269285e-03   1.56558794e-16   3.19228116e+01  -7.21481489e-18   1.61106815e+01 
9            5.00000000e-02   4.00000000e-01   2.71024642e-03   1.78242837e-16   3.19115527e+01   6.89061303e-18   1.60980612e+01 
10           5.00000000e-02   4.50000000e-01   2.32305855e-03   2.18358318e-16   3.19003300e+01  -1.10660619e-17   1.60855219e+01 
11           5.00000000e-02   5.00000000e-01   2.34940316e-03   1.97324795e-16   3.18891451e+01   2.29969445e-18   1.60730650e+01 
12           5.00000000e-02   5.50000000e-01   2.11827907e-03   1.84531210e-16   3.18779998e+01   1.35292338e-17   1.60606919e+01 
13           5.00000000e-02   6.00000000e-01   2.06888745e-03   2.02962647e-16   3.18668960e+01  -1.36829702e-17   1.60484033e+01 
14           5.00000000e-02   6.50000000e-01   1.97458184e-03   2.10552062e-16   3.18558353e+01  -1.75234176e-17   1.60361990e+01 
15           5.00000000e-02   7.00000000e-01   1.92574753e-03   2.38524478e-16   3.18448195e+01   2.31578808e-18   1.60240780e+01 
16           5.00000000e-02   7.50000000e-01   1.89074720e-03   2.86663054e-16   3.18338504e+01  -1.55472897e-17   1.60120388e+01 
17           5.00000000e-02   8.00000000e-01   1.87562802e-03   3.30031141e-16   3.18229296e+01   1.10876613e-18   1.60000798e+01 
