    0.0100000000    47.5167804451     1.0000044093     1.2862260826     1.0002271706     0.0000000094
    0.0200000000    41.4545677989     1.0000527172     1.2475427634     1.0014704873     0.0000000567
    0.0300000000    36.5771542319     1.0001880469     1.2162450480     1.0039031532     0.0000001716
    0.0400000000    32.6199317457     1.0004224869     1.1910975170     1.0072996560     0.0000003532
    0.0500000000    29.3822044721     1.0007503986     1.1709765447     1.0113769521     0.0000005750
    0.0600000000    26.7108670486     1.0011578546     1.1549262258     1.0158793111     0.0000008203
    0.0700000000    24.4884321571     1.0016252623     1.1421355183     1.0205793728     0.0000011116
    0.0800000000    22.6242089460     1.0021305627     1.1319257801     1.0252854706     0.0000014873
    0.0900000000    21.0477733123     1.0026532436     1.1237482317     1.0298554688     0.0000019131
    0.1000000000    19.7041116109     1.0031766367     1.1171714202     1.0341977893     0.0000023746
    0.1100000000    18.5499916036     1.0036880485     1.1118578851     1.0382593122     0.0000028555
    0.1200000000    17.5512371225     1.0041780700     1.1075413688     1.0420118987     0.0000033557
    0.1300000000    16.6806712079     1.0046400685     1.1040111978     1.0454444962     0.0000038677
    0.1400000000    15.9165559296     1.0050698871     1.1011021152     1.0485593787     0.0000043827
    0.1500000000    15.2414029493     1.0054654677     1.0986857112     1.0513688987     0.0000048987
    0.1600000000    14.6410621100     1.0058263464     1.0966622145     1.0538916979     0.0000054086
    0.1700000000    14.1040195098     1.0061531681     1.0949535238     1.0561494133     0.0000059062
    0.1800000000    13.6208541701     1.0064473268     1.0934981573     1.0581646824     0.0000063852
    0.1900000000    13.1838153439     1.0067107181     1.0922477404     1.0599601748     0.0000068429
    0.2000000000    12.7864920387     1.0069455494     1.0911642915     1.0615579964     0.0000072767
    0.2100000000    12.4235533598     1.0071541802     1.0902179205     1.0629791539     0.0000076861
    0.2200000000    12.0905435036     1.0073389977     1.0893849461     1.0642431449     0.0000080702
    0.2300000000    11.7837191248     1.0075023324     1.0886464802     1.0653677721     0.0000084289
    0.2400000000    11.4999197089     1.0076464066     1.0879874005     1.0663691432     0.0000087631
    0.2500000000    11.2364637744     1.0077733032     1.0873955663     1.0672617461     0.0000090729
    0.2600000000    10.9910653814     1.0078849476     1.0868611837     1.0680585330     0.0000093593
    0.2700000000    10.7617666718     1.0079830985     1.0863762934     1.0687710100     0.0000096233
    0.2800000000    10.5468831284     1.0080693472     1.0859343750     1.0694093474     0.0000098662
    0.2900000000    10.3449589613     1.0081451233     1.0855300506     1.0699825070     0.0000100893
    0.3000000000    10.1547305975     1.0082117037     1.0851588564     1.0704983698     0.0000102938
    0.3100000000     9.9750966778     1.0082702230     1.0848170607     1.0709638539     0.0000104812
    0.3200000000     9.8050933015     1.0083216853     1.0845015179     1.0713850207     0.0000106527
    0.3300000000     9.6438735212     1.0083669760     1.0842095531     1.0717671727     0.0000108101
    0.3400000000     9.4906902895     1.0084068733     1.0839388740     1.0721149447     0.0000109543
    0.3500000000     9.3448822255     1.0084420598     1.0836875011     1.0724323861     0.0000110862
    0.3600000000     9.2058616870     1.0084731330     1.0834537123     1.0727230340     0.0000112069
    0.3700000000     9.0731047403     1.0085006150     1.0832359985     1.0729899776     0.0000113173
    0.3800000000     8.9461426940     1.0085249611     1.0830330276     1.0732359146     0.0000114184
    0.3900000000     8.8245549278     1.0085465685     1.0828436160     1.0734632018     0.0000115113
    0.4000000000     8.7079627967     1.0085657829     1.0826667062     1.0736738990     0.0000115966
    0.4100000000     8.5960244320     1.0085829050     1.0825013483     1.0738698078     0.0000116749
    0.4200000000     8.4884302915     1.0085981966     1.0823466846     1.0740525049     0.0000117470
    0.4300000000     8.3848993389     1.0086118852     1.0822019374     1.0742233715     0.0000118136
    0.4400000000     8.2851757526     1.0086241687     1.0820663990     1.0743836188     0.0000118750
    0.4500000000     8.1890260810     1.0086352191     1.0819394228     1.0745343103     0.0000119320
    0.4600000000     8.0962367770     1.0086451860     1.0818204165     1.0746763808     0.0000119849
    0.4700000000     8.0066120536     1.0086541995     1.0817088364     1.0748106532     0.0000120341
    0.4800000000     7.9199720141     1.0086623727     1.0816041817     1.0749378531     0.0000120800
    0.4900000000     7.8361510164     1.0086698044     1.0815059908     1.0750586213     0.0000121230
    0.5000000000     7.7549962377     1.0086765802     1.0814138371     1.0751735248     0.0000121632
    0.5100000000     7.6763664130     1.0086827752     1.0813273260     1.0752830658     0.0000122016
    0.5200000000     7.6001307216     1.0086884545     1.0812460919     1.0753876906     0.0000122380
    0.5300000000     7.5261678022     1.0086936753     1.0811697958     1.0754877961     0.0000122725
    0.5400000000     7.4543648805     1.0086984874     1.0810981230     1.0755837363     0.0000123051
    0.5500000000     7.3846169933     1.0087029344     1.0810307812     1.0756758274     0.0000123362
    0.5600000000     7.3168262970     1.0087070547     1.0809674986     1.0757643528     0.0000123663
    0.5700000000     7.2509014501     1.0087108818     1.0809080222     1.0758495667     0.0000123957
    0.5800000000     7.1867570609     1.0087144451     1.0808521166     1.0759316978     0.0000124239
    0.5900000000     7.1243131914     1.0087177708     1.0807995624     1.0760109525     0.0000124510
    0.6000000000     7.0634949119     1.0087208816     1.0807501554     1.0760875172     0.0000124772
    0.6100000000     7.0042318989     1.0087237977     1.0807037048     1.0761615609     0.0000125029
    0.6200000000     6.9464580733     1.0087265371     1.0806600330     1.0762332372     0.0000125278
    0.6300000000     6.8901112716     1.0087291156     1.0806189739     1.0763026858     0.0000125519
    0.6400000000     6.8351329499     1.0087315473     1.0805803726     1.0763700342     0.0000125752
    0.6500000000     6.7814679131     1.0087338446     1.0805440845     1.0764353991     0.0000125979
