actuator_ROM 80 40 1.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
1            5.00000000e-02   0.00000000e+00   2.50187500e-02   1.49880108e-15   3.20028336e+01   3.75989455e-17   1.62019099e+01
2            5.00000000e-02   5.00000000e-02   2.49995129e-02   1.23512311e-15   3.19912443e+01   1.02865163e-16   1.61885545e+01 
3            5.00000000e-02   1.00000000e-01   2.49099479e-02   1.05471187e-15   3.19796910e+01   1.15048885e-16   1.61752987e+01 
4            5.00000000e-02   1.50000000e-01   2.48160346e-02   9.57567359e-16   3.19681922e+01   8.62804701e-17   1.61621561e+01 
5            5.00000000e-02   2.00000000e-01   2.47195224e-02   8.46545056e-16   3.19567589e+01   1.15734347e-16   1.61491340e+01 
6            5.00000000e-02   2.50000000e-01   2.46221568e-02   8.46545056e-16   3.19453954e+01   1.26301506e-16   1.61362351e+01 
7            5.00000000e-02   3.00000000e-01   2.45256095e-02   8.74300632e-16   3.19341016e+01   1.11356033e-16   1.61234577e+01 
8            5.00000000e-02   3.50000000e-01   2.44314190e-02   8.88178420e-16   3.19228733e+01   8.81892588e-17   1.61107971e+01 
9            5.00000000e-02   4.00000000e-01   2.43409440e-02   9.85322934e-16   3.19117045e+01   6.55201161e-17   1.60982467e+01 
10           5.00000000e-02   4.50000000e-01   2.42553289e-02   1.09634524e-15   3.19005877e+01   7.39668345e-17   1.60857984e+01 
11           5.00000000e-02   5.00000000e-01   2.41754827e-02   1.17961196e-15   3.18895156e+01   1.10483484e-16   1.60734439e+01 
12           5.00000000e-02   5.50000000e-01   2.41020680e-02   1.19348975e-15   3.18784816e+01   3.47003988e-17   1.60611749e+01 
13           5.00000000e-02   6.00000000e-01   2.40355024e-02   1.31838984e-15   3.18674804e+01   1.01116464e-16   1.60489843e+01 
14           5.00000000e-02   6.50000000e-01   2.39759668e-02   1.44328993e-15   3.18565085e+01   3.38813179e-17   1.60368660e+01 
15           5.00000000e-02   7.00000000e-01   2.39234232e-02   1.37390099e-15   3.18455641e+01   4.96988111e-17   1.60248157e+01 
16           5.00000000e-02   7.50000000e-01   2.38776382e-02   1.54043445e-15   3.18346477e+01   7.80820382e-17   1.60128308e+01 
17           5.00000000e-02   8.00000000e-01   2.38382112e-02   1.55431223e-15   3.18237615e+01   2.32671480e-17   1.60009105e+01 
18           5.00000000e-02   8.50000000e-01   2.38046072e-02   1.55431223e-15   3.18129094e+01   1.15160905e-16   1.59890556e+01 
19           5.00000000e-02   9.00000000e-01   2.37761915e-02   1.48492330e-15   3.18020963e+01   1.08676021e-16   1.59772685e+01 
20           5.00000000e-02   9.50000000e-01   2.37522646e-02   1.52655666e-15   3.17913283e+01   1.02262288e-16   1.59655524e+01 
21           5.00000000e-02   1.00000000e+00   2.37320980e-02   1.34614542e-15   3.17806118e+01   1.80751749e-16   1.59539115e+01 
22           5.00000000e-02   1.05000000e+00   2.37149663e-02   1.37390099e-15   3.17699534e+01   9.83117261e-17   1.59423504e+01 
23           5.00000000e-02   1.10000000e+00   2.37001774e-02   1.20736754e-15   3.17593592e+01   8.18081361e-17   1.59308736e+01 
24           5.00000000e-02   1.15000000e+00   2.36870976e-02   1.17961196e-15   3.17488350e+01   8.66430002e-17   1.59194855e+01 
25           5.00000000e-02   1.20000000e+00   2.36751713e-02   1.09634524e-15   3.17383857e+01   5.35019891e-17   1.59081900e+01 
26           5.00000000e-02   1.25000000e+00   2.36639354e-02   1.05471187e-15   3.17280152e+01   9.38952963e-17   1.58969903e+01 
27           5.00000000e-02   1.30000000e+00   2.36530270e-02   1.15185639e-15   3.17177265e+01   1.36961839e-16   1.58858889e+01 
28           5.00000000e-02   1.35000000e+00   2.36421861e-02   9.99200722e-16   3.17075215e+01   5.92008267e-17   1.58748875e+01 
