actuator_ROM 80 40 1.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
1            5.00000000e-02   0.00000000e+00   2.50000000e-02   9.41738029e-05   3.19982672e+01   1.13543073e-16   1.59992750e+01
2            5.00000000e-02   5.00000000e-02   2.47824135e-02   7.31043694e-05   3.19862761e+01   1.06734622e-16   1.59873197e+01 
3            5.00000000e-02   1.00000000e-01   2.47264250e-02   5.38406167e-05   3.19742290e+01   5.02426063e-17   1.59753773e+01 
4            5.00000000e-02   1.50000000e-01   2.46710132e-02   3.63047026e-05   3.19621364e+01   2.86331017e-17   1.59634559e+01 
5            5.00000000e-02   2.00000000e-01   2.46163114e-02   2.04169209e-05   3.19500081e+01  -3.09230553e-18   1.59515630e+01 
6            5.00000000e-02   2.50000000e-01   2.45624444e-02   6.09604545e-06   3.19378534e+01  -2.09960409e-17   1.59397051e+01 
7            5.00000000e-02   3.00000000e-01   2.45095283e-02   6.74032228e-06   3.19256806e+01  -4.37852506e-17   1.59278885e+01 
8            5.00000000e-02   3.50000000e-01   2.44576703e-02   1.81754023e-05   3.19134976e+01  -5.83825929e-17   1.59161185e+01 
9            5.00000000e-02   4.00000000e-01   2.44069687e-02   2.82928863e-05   3.19013113e+01  -6.93660691e-17   1.59043998e+01 
10           5.00000000e-02   4.50000000e-01   2.43575123e-02   3.71765914e-05   3.18891282e+01  -7.91620052e-17   1.58927365e+01 
11           5.00000000e-02   5.00000000e-01   2.43093810e-02   4.49101184e-05   3.18769541e+01  -8.43729519e-17   1.58811322e+01 
12           5.00000000e-02   5.50000000e-01   2.42626457e-02   5.15765192e-05   3.18647943e+01  -9.15354625e-17   1.58695898e+01 
13           5.00000000e-02   6.00000000e-01   2.42173683e-02   5.72579738e-05   3.18526535e+01  -8.72562520e-17   1.58581117e+01 
14           5.00000000e-02   6.50000000e-01   2.41736019e-02   6.20354803e-05   3.18405358e+01  -9.69988250e-17   1.58466998e+01 
15           5.00000000e-02   7.00000000e-01   2.41313912e-02   6.59885588e-05   3.18284450e+01  -9.44306211e-17   1.58353556e+01 
16           5.00000000e-02   7.50000000e-01   2.40907728e-02   6.91949725e-05   3.18163844e+01  -9.71157155e-17   1.58240801e+01 
17           5.00000000e-02   8.00000000e-01   2.40517751e-02   7.17304658e-05   3.18043568e+01  -8.83218195e-17   1.58128739e+01 
18           5.00000000e-02   8.50000000e-01   2.40144192e-02   7.36685227e-05   3.17923647e+01  -1.01628707e-16   1.58017373e+01 
19           5.00000000e-02   9.00000000e-01   2.39787188e-02   7.50801448e-05   3.17804102e+01  -7.07408036e-17   1.57906705e+01 
