actuator_ROM 80 40 1.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
1            5.00000000e-02   0.00000000e+00   2.50000000e-02   6.80011603e-16   3.19998313e+01  -3.36966647e-17   1.59998845e+01
2            5.00000000e-02   5.00000000e-02   2.49888083e-02   1.29063427e-15   3.19881780e+01  -8.29732299e-18   1.59883002e+01 
3            5.00000000e-02   1.00000000e-01   2.49118722e-02   1.65145675e-15   3.19765561e+01   3.19701998e-17   1.59768733e+01 
4            5.00000000e-02   1.50000000e-01   2.48303061e-02   1.98452366e-15   3.19649557e+01   7.80979200e-17   1.59655774e+01 
5            5.00000000e-02   2.00000000e-01   2.47455744e-02   1.90125693e-15   3.19533709e+01   2.24063508e-17   1.59543922e+01 
6            5.00000000e-02   2.50000000e-01   2.46591734e-02   1.79023463e-15   3.19417993e+01   4.16835501e-17   1.59433019e+01 
7            5.00000000e-02   3.00000000e-01   2.45725687e-02   1.65145675e-15   3.19302409e+01   5.20865706e-17   1.59322953e+01 
8            5.00000000e-02   3.50000000e-01   2.44871417e-02   1.34614542e-15   3.19186978e+01   2.42852816e-17   1.59213641e+01 
9            5.00000000e-02   4.00000000e-01   2.44041460e-02   1.09634524e-15   3.19071731e+01   3.81965272e-17   1.59105028e+01 
10           5.00000000e-02   4.50000000e-01   2.43246741e-02   7.35522754e-16   3.18956709e+01  -2.10021819e-18   1.58997079e+01 
11           5.00000000e-02   5.00000000e-01   2.42496353e-02   4.71411105e-16   3.18841954e+01   3.57769776e-17   1.58889768e+01 
12           5.00000000e-02   5.50000000e-01   2.41797419e-02   4.70977424e-16   3.18727505e+01   3.47215746e-17   1.58783080e+01 
13           5.00000000e-02   6.00000000e-01   2.41155051e-02   5.32912473e-16   3.18613398e+01   3.45106634e-17   1.58677005e+01 
14           5.00000000e-02   6.50000000e-01   2.40572377e-02   6.60584055e-16   3.18499663e+01   2.37956966e-17   1.58571531e+01 
15           5.00000000e-02   7.00000000e-01   2.40050633e-02   8.24339241e-16   3.18386321e+01  -2.93242806e-18   1.58466650e+01 
16           5.00000000e-02   7.50000000e-01   2.39589314e-02   9.52017599e-16   3.18273384e+01   9.02259495e-18   1.58362352e+01 
17           5.00000000e-02   8.00000000e-01   2.39186360e-02   9.52017599e-16   3.18160858e+01   2.93496916e-18   1.58258625e+01 
18           5.00000000e-02   8.50000000e-01   2.38838385e-02   9.90872694e-16   3.18048740e+01  -2.81325053e-17   1.58155457e+01 
19           5.00000000e-02   9.00000000e-01   2.38540932e-02   8.54873084e-16   3.17937024e+01   6.19858711e-18   1.58052833e+01 
20           5.00000000e-02   9.50000000e-01   2.38288733e-02   7.52178810e-16   3.17825698e+01   3.45640264e-17   1.57950741e+01 
21           5.00000000e-02   1.00000000e+00   2.38075992e-02   6.52256027e-16   3.17714749e+01   5.16080234e-17   1.57849166e+01 
22           5.00000000e-02   1.05000000e+00   2.37896650e-02   6.21898366e-16   3.17604163e+01   2.72930956e-17   1.57748095e+01 
23           5.00000000e-02   1.10000000e+00   2.37744644e-02   6.46618176e-16   3.17493927e+01   9.83201964e-17   1.57647517e+01 
24           5.00000000e-02   1.15000000e+00   2.37614138e-02   6.43582410e-16   3.17384030e+01   4.02374531e-17   1.57547419e+01 
25           5.00000000e-02   1.20000000e+00   2.37499726e-02   6.48786580e-16   3.17274466e+01   4.97885966e-17   1.57447794e+01 
26           5.00000000e-02   1.25000000e+00   2.37396592e-02   6.54424431e-16   3.17165233e+01   5.70222580e-18   1.57348636e+01 
27           5.00000000e-02   1.30000000e+00   2.37300635e-02   6.63531730e-16   3.17056333e+01   6.59804785e-17   1.57249942e+01 
28           5.00000000e-02   1.35000000e+00   2.37208538e-02   6.80011603e-16   3.16947774e+01   3.86721362e-17   1.57151711e+01 
29           5.00000000e-02   1.40000000e+00   2.37117804e-02   6.89552582e-16   3.16839568e+01  -1.07878116e-17   1.57053947e+01 
30           5.00000000e-02   1.45000000e+00   2.37026743e-02   7.06899816e-16   3.16731732e+01   9.28720805e-17   1.56956656e+01 
31           5.00000000e-02   1.50000000e+00   2.36934423e-02   8.32667268e-16   3.16624287e+01  -1.72930247e-17   1.56859848e+01 
32           5.00000000e-02   1.55000000e+00   2.36840594e-02   1.00462173e-15   3.16517258e+01  -1.34712120e-17   1.56763533e+01 
33           5.00000000e-02   1.60000000e+00   2.36745580e-02   1.17137203e-15   3.16410670e+01  -2.06100057e-17   1.56667726e+01 
34           5.00000000e-02   1.65000000e+00   2.36650166e-02   1.33508656e-15   3.16304549e+01  -6.62312002e-17   1.56572439e+01 
35           5.00000000e-02   1.70000000e+00   2.36555465e-02   1.48492330e-15   3.16198925e+01  -6.90907834e-17   1.56477690e+01 
36           5.00000000e-02   1.75000000e+00   2.36462792e-02   1.63194111e-15   3.16093822e+01  -5.85875749e-17   1.56383492e+01 
37           5.00000000e-02   1.80000000e+00   2.36373538e-02   1.83186799e-15   3.15989267e+01  -1.34779883e-17   1.56289863e+01 
38           5.00000000e-02   1.85000000e+00   2.36289057e-02   1.92337465e-15   3.15885282e+01   5.79099485e-17   1.56196815e+01 
39           5.00000000e-02   1.90000000e+00   2.36210565e-02   2.02615702e-15   3.15781888e+01   4.80843663e-17   1.56104364e+01 
40           5.00000000e-02   1.95000000e+00   2.36139061e-02   2.10378590e-15   3.15679103e+01   1.44198889e-17   1.56012523e+01 
41           5.00000000e-02   2.00000000e+00   2.36075265e-02   2.18987155e-15   3.15576943e+01   1.51381728e-17   1.55921303e+01 
42           5.00000000e-02   2.05000000e+00   2.36019578e-02   2.20374934e-15   3.15475420e+01   8.27314020e-17   1.55830717e+01 
43           5.00000000e-02   2.10000000e+00   2.35972068e-02   2.31477164e-15   3.15374546e+01   6.55196925e-17   1.55740775e+01 
44           5.00000000e-02   2.15000000e+00   2.35932467e-02   2.33407044e-15   3.15274330e+01   6.11896601e-18   1.55651488e+01 
45           5.00000000e-02   2.20000000e+00   2.35900195e-02   2.29525600e-15   3.15174780e+01   6.23484012e-17   1.55562867e+01 
46           5.00000000e-02   2.25000000e+00   2.35874397e-02   2.31759056e-15   3.15075904e+01   4.24194100e-17   1.55474923e+01 
47           5.00000000e-02   2.30000000e+00   2.35853994e-02   2.28137821e-15   3.14977709e+01   8.69123567e-17   1.55387667e+01 
48           5.00000000e-02   2.35000000e+00   2.35837742e-02   2.23714276e-15   3.14880205e+01   9.68328065e-18   1.55301111e+01 
49           5.00000000e-02   2.40000000e+00   2.35824301e-02   2.20656826e-15   3.14783403e+01   3.11166024e-17   1.55215270e+01 
50           5.00000000e-02   2.45000000e+00   2.35812300e-02   2.17599376e-15   3.14687313e+01   4.31241414e-17   1.55130156e+01 
51           5.00000000e-02   2.50000000e+00   2.35800406e-02   2.07603032e-15   3.14591953e+01   7.88214979e-17   1.55045788e+01 
52           5.00000000e-02   2.55000000e+00   2.35787387e-02   2.02333809e-15   3.14497338e+01   2.04372110e-17   1.54962181e+01 
53           5.00000000e-02   2.60000000e+00   2.35772167e-02   1.96500802e-15   3.14403491e+01   1.05574187e-17   1.54879356e+01 
54           5.00000000e-02   2.65000000e+00   2.35753867e-02   1.90125693e-15   3.14310436e+01   2.00577402e-18   1.54797334e+01 
