actuator_ROM 80 40 1.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
1            5.00000000e-02   0.00000000e+00   6.71364684e-03   0.00000000e+00   3.20000000e+01   0.00000000e+00   1.60000000e+01
2            5.00000000e-02   5.00000000e-02   6.68467806e-03   3.03305558e-17   3.19881890e+01  -9.27633426e-19   1.59882803e+01 
3            5.00000000e-02   1.00000000e-01   6.22956449e-03   5.82594035e-17   3.19764096e+01   2.57556249e-18   1.59767471e+01 
4            5.00000000e-02   1.50000000e-01   5.18792405e-03   6.76542156e-17   3.19646603e+01   7.19130972e-19   1.59653628e+01 
5            5.00000000e-02   2.00000000e-01   3.87935238e-03   9.11814027e-17   3.19529402e+01  -3.36356783e-18   1.59540976e+01 
6            5.00000000e-02   2.50000000e-01   3.52454726e-03   1.07552856e-16   3.19412490e+01   1.23031536e-18   1.59429289e+01 
7            5.00000000e-02   3.00000000e-01   3.32344209e-03   1.21322223e-16   3.19295867e+01   4.61400022e-18   1.59318410e+01 
8            5.00000000e-02   3.50000000e-01   2.74954101e-03   1.56992475e-16   3.19179535e+01  -1.49204854e-18   1.59208240e+01 
9            5.00000000e-02   4.00000000e-01   2.70674942e-03   1.66099773e-16   3.19063497e+01   6.66022006e-18   1.59098725e+01 
10           5.00000000e-02   4.50000000e-01   2.51676145e-03   1.74773390e-16   3.18947756e+01   6.80845083e-18   1.58989838e+01 
11           5.00000000e-02   5.00000000e-01   2.22653435e-03   1.95590072e-16   3.18832317e+01  -9.86158109e-18   1.58881572e+01 
12           5.00000000e-02   5.50000000e-01   2.23049431e-03   2.10335221e-16   3.18717183e+01  -2.08200698e-17   1.58773926e+01 
13           5.00000000e-02   6.00000000e-01   2.03872236e-03   2.41126563e-16   3.18602357e+01   8.39197892e-18   1.58666898e+01 
14           5.00000000e-02   6.50000000e-01   1.96522534e-03   2.36789754e-16   3.18487843e+01  -1.45240739e-17   1.58560480e+01 
15           5.00000000e-02   7.00000000e-01   1.91171098e-03   2.46330734e-16   3.18373644e+01  -1.83763798e-17   1.58454660e+01 
16           5.00000000e-02   7.50000000e-01   1.87660832e-03   2.78856799e-16   3.18259764e+01   8.06205959e-18   1.58349419e+01 
17           5.00000000e-02   8.00000000e-01   1.86297069e-03   3.02709247e-16   3.18146209e+01  -2.20330210e-17   1.58244736e+01 
18           5.00000000e-02   8.50000000e-01   1.82094481e-03   3.26128013e-16   3.18032981e+01  -6.05374447e-18   1.58140589e+01 
