LDC_unsteady 100 100 1.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
48           2.50000000e-03   1.17500000e-01   1.94082232e-04   4.77482637e-16  -6.80218279e-16   2.27332801e-15   9.91066441e-03 
49           2.50000000e-03   1.20000000e-01   1.89913782e-04   4.84421531e-16  -6.49464206e-16   2.29157988e-15   1.00066803e-02 
50           2.50000000e-03   1.22500000e-01   1.85889768e-04   4.94829872e-16  -7.41784021e-16   2.31386362e-15   1.01014214e-02 
51           2.50000000e-03   1.25000000e-01   1.82000692e-04   5.04370851e-16  -6.73001558e-16   2.33619141e-15   1.01949276e-02 
52           2.50000000e-03   1.27500000e-01   1.78243676e-04   5.12610787e-16  -7.16508558e-16   2.35397232e-15   1.02872368e-02 
53           2.50000000e-03   1.30000000e-01   1.74608493e-04   5.23452809e-16  -8.09970174e-16   2.37871585e-15   1.03783850e-02 
54           2.50000000e-03   1.32500000e-01   1.71097139e-04   5.32560107e-16  -8.18836915e-16   2.39576154e-15   1.04684065e-02 
55           2.50000000e-03   1.35000000e-01   1.67696106e-04   5.39932682e-16  -7.57267784e-16   2.41744558e-15   1.05573337e-02 
56           2.50000000e-03   1.37500000e-01   1.64404110e-04   5.49039980e-16  -7.87462814e-16   2.43724244e-15   1.06451977e-02 
57           2.50000000e-03   1.40000000e-01   1.61219678e-04   5.56846236e-16  -7.44684262e-16   2.45754412e-15   1.07320282e-02 
58           2.50000000e-03   1.42500000e-01   1.58132541e-04   5.65953534e-16  -8.24928775e-16   2.47619579e-15   1.08178534e-02 
59           2.50000000e-03   1.45000000e-01   1.55138894e-04   5.73759790e-16  -8.80446703e-16   2.49546409e-15   1.09027004e-02 
60           2.50000000e-03   1.47500000e-01   1.52511480e-04   5.81566045e-16  -8.24224044e-16   2.51436309e-15   1.09865948e-02 
61           2.50000000e-03   1.50000000e-01   1.50162831e-04   5.90673344e-16  -8.62804701e-16   2.53431919e-15   1.10695616e-02 
62           2.50000000e-03   1.52500000e-01   1.47865658e-04   6.01949046e-16  -9.56317138e-16   2.55575251e-15   1.11516242e-02 
63           2.50000000e-03   1.55000000e-01   1.45628317e-04   6.14525791e-16  -9.01839367e-16   2.57166995e-15   1.12328054e-02 
64           2.50000000e-03   1.57500000e-01   1.43440063e-04   6.23633090e-16  -9.45105810e-16   2.59592220e-15   1.13131270e-02 
65           2.50000000e-03   1.60000000e-01   1.41299719e-04   6.34475111e-16  -7.84623560e-16   2.61087064e-15   1.13926098e-02 
66           2.50000000e-03   1.62500000e-01   1.39207245e-04   6.45750814e-16  -1.00028154e-15   2.63111473e-15   1.14712739e-02 
