#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   2.02166  0.98019 -0.00157 -1.07462  0.050714  0.019924  0.024750     2.545
   2.03312  0.99163 -0.00067 -1.07437  0.051231  0.020066  0.024287     2.553
   2.04153  1.00000  0.00000 -1.07238  0.052832  0.020323  0.022308     2.600
   2.04153  1.00010 -0.00001  1.07238  0.202076  0.045387  0.000000     4.452
   2.04992  1.00848 -0.00051  1.07109  0.198863  0.045738  0.000000     4.348
   2.05957  1.01812 -0.00099  1.06980  0.197516  0.046086  0.000000     4.286
   2.07067  1.02921 -0.00147  1.06835  0.196259  0.046479  0.000000     4.223
   2.08345  1.04197 -0.00196  1.06672  0.195007  0.046922  0.000000     4.156
   2.09814  1.05665 -0.00246  1.06488  0.193672  0.047420  0.000000     4.084
   2.11503  1.07354 -0.00295  1.06286  0.192196  0.047967  0.000000     4.007
   2.13447  1.09297 -0.00343  1.06064  0.190528  0.048568  0.000000     3.923
   2.15682  1.11532 -0.00389  1.05814  0.188629  0.049246  0.000000     3.830
   2.18254  1.14103 -0.00431  1.05533  0.186443  0.050010  0.000000     3.728
   2.21211  1.17061 -0.00467  1.05217  0.183910  0.050866  0.000000     3.616
   2.24613  1.20463 -0.00494  1.04866  0.180960  0.051821  0.000000     3.492
   2.28526  1.24376 -0.00510  1.04477  0.177512  0.052875  0.000000     3.357
   2.33027  1.28877 -0.00509  1.04052  0.173480  0.054028  0.000000     3.211
   2.38204  1.34054 -0.00487  1.03593  0.168763  0.055268  0.000000     3.054
   2.44159  1.40008 -0.00437  1.03107  0.163258  0.056573  0.000000     2.886
   2.51009  1.46857 -0.00353  1.02609  0.156850  0.057902  0.000000     2.709
   2.58887  1.54735 -0.00225  1.02124  0.149408  0.059184  0.000000     2.524
   2.67949  1.63795 -0.00043  1.01695  0.140752  0.060297  0.000000     2.334
   2.78373  1.74215  0.00205  1.01414  0.130474  0.061008  0.000000     2.139
   2.90362  1.86200  0.00534  1.01486  0.117759  0.060834  0.000000     1.936
   3.04153  1.99984  0.00960  1.04876  0.086532  0.053740  0.000000     1.610
