#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  1.09624  0.263647  0.076275  0.009945     3.457
   0.00838  0.99180  0.00174  1.09730  0.261622  0.075841  0.010249     3.450
   0.01975  0.98067  0.00406  1.09876  0.258572  0.075244  0.010805     3.436
   0.03288  0.96782  0.00670  1.10048  0.255005  0.074548  0.011491     3.421
   0.04741  0.95357  0.00957  1.10242  0.251023  0.073771  0.012302     3.403
   0.06289  0.93838  0.01256  1.10452  0.246778  0.072937  0.013212     3.383
   0.07890  0.92265  0.01559  1.10674  0.242391  0.072066  0.014205     3.363
   0.09521  0.90663  0.01860  1.10903  0.237943  0.071173  0.015262     3.343
   0.11165  0.89046  0.02157  1.11139  0.233475  0.070265  0.016382     3.323
   0.12817  0.87420  0.02448  1.11381  0.229014  0.069345  0.017556     3.303
   0.14472  0.85789  0.02733  1.11629  0.224569  0.068417  0.018787     3.282
   0.16129  0.84156  0.03012  1.11880  0.220145  0.067480  0.020078     3.262
   0.17787  0.82521  0.03284  1.12137  0.215752  0.066536  0.021423     3.243
   0.19445  0.80884  0.03549  1.12399  0.211381  0.065585  0.022832     3.223
   0.21103  0.79246  0.03807  1.12666  0.207039  0.064626  0.024306     3.204
   0.22761  0.77607  0.04059  1.12937  0.202726  0.063661  0.025847     3.184
   0.24420  0.75967  0.04304  1.13214  0.198440  0.062688  0.027458     3.166
   0.26077  0.74326  0.04542  1.13495  0.194181  0.061709  0.029148     3.147
   0.27735  0.72685  0.04773  1.13782  0.189950  0.060723  0.030915     3.128
   0.29392  0.71043  0.04998  1.14074  0.185744  0.059730  0.032768     3.110
   0.31048  0.69401  0.05216  1.14371  0.181566  0.058731  0.034713     3.091
   0.32704  0.67759  0.05427  1.14673  0.177414  0.057725  0.036752     3.073
   0.34359  0.66117  0.05631  1.14980  0.173285  0.056712  0.038896     3.056
   0.36012  0.64475  0.05827  1.15292  0.169182  0.055693  0.041150     3.038
   0.37665  0.62833  0.06017  1.15610  0.165102  0.054667  0.043521     3.020
   0.39317  0.61192  0.06198  1.15933  0.161046  0.053635  0.046019     3.003
   0.40967  0.59551  0.06373  1.16261  0.157013  0.052596  0.048655     2.985
