shear_layer 40 40 1.000e+100
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
1            1.00000000e-02   0.00000000e+00   2.68760253e-03   0.00000000e+00   3.94784176e+01   1.40268656e-16   3.68714656e+01
2            1.00000000e-02   1.00000000e-02   2.69039701e-03   9.58434720e-17   3.94784176e+01  -3.80826013e-18   3.68714656e+01 
3            1.00000000e-02   2.00000000e-02   2.69258038e-03   1.04083409e-16   3.94784176e+01   5.42101086e-18   3.68714656e+01 
4            1.00000000e-02   3.00000000e-02   2.69414957e-03   1.20996962e-16   3.94784176e+01  -2.16840434e-19   3.68714656e+01 
5            1.00000000e-02   4.00000000e-02   2.69608201e-03   1.55257751e-16   3.94784176e+01  -7.02020907e-18   3.68714656e+01 
6            1.00000000e-02   5.00000000e-02   2.70443195e-03   1.38777878e-16   3.94784176e+01   1.84043319e-17   3.68714656e+01 
7            1.00000000e-02   6.00000000e-02   2.71195716e-03   1.97758476e-16   3.94784176e+01  -1.20617492e-17   3.68714656e+01 
8            1.00000000e-02   7.00000000e-02   2.71865389e-03   1.89084859e-16   3.94784176e+01   1.23327997e-17   3.68714656e+01 
9            1.00000000e-02   8.00000000e-02   2.72451850e-03   2.00360561e-16   3.94784176e+01  -1.37693676e-17   3.68714656e+01 
10           1.00000000e-02   9.00000000e-02   2.72954747e-03   2.50667542e-16   3.94784176e+01   1.39862080e-17   3.68714656e+01 
11           1.00000000e-02   1.00000000e-01   2.73373738e-03   2.48499138e-16   3.94784176e+01   2.20635142e-17   3.68714656e+01 
12           1.00000000e-02   1.10000000e-01   2.73770836e-03   2.51534904e-16   3.94784176e+01   2.09251019e-17   3.68714656e+01 
13           1.00000000e-02   1.20000000e-01   2.74740039e-03   2.86229374e-16   3.94784176e+01   1.21972744e-17   3.68714656e+01 
14           1.00000000e-02   1.30000000e-01   2.75819452e-03   3.15719673e-16   3.94784176e+01   1.48264647e-17   3.68714656e+01 
